"seed" "indID" "indSubpopIndex" "subpop" "phen_sal" "phen_temp" "sal_opt" "temp_opt" "fitness" "subset" "PC1" "PC2" "PC3" "RDA1" "RDA2"
"391" "2242330863068" 390 90 4 0.0659439 -0.984914 -0.333333 -1 0.999545 TRUE 31.0894 -12.8587 10.5884 -1.81692128769625 -1.23986384580972
"393" "2242330863068" 392 92 4 0.853365 -1.3033 -0.333333 -1 0.831951 TRUE 30.4902 -15.9117 9.43619 -1.67723549610624 -1.14802987547686
"411" "2242330863068" 410 10 5 -0.452626 -1.21633 -0.111111 -1 0.910648 TRUE 30.5024 -17.5342 14.8689 -1.66965526463422 0.870618076635728
"415" "2242330863068" 414 14 5 -2.7116 -0.739557 -0.111111 -1 0.873138 TRUE 33.6868 -17.4325 10.8775 -1.81822759035584 -1.07816271659259
"417" "2242330863068" 416 16 5 0.157024 -0.871636 -0.111111 -1 0.967583 TRUE 29.7847 -13.0078 11.5297 -1.68112830481178 -2.18111801596534
"438" "2242330863068" 437 37 5 0.593888 -0.927936 -0.111111 -1 0.989667 TRUE 31.9891 -16.3107 13.1148 -1.78461746742399 -2.08368704180715
"442" "2242330863068" 441 41 5 0.614917 -0.857405 -0.111111 -1 0.960149 TRUE 29.328 -16.6077 9.402 -1.67437666994059 -1.71521627376962
"450" "2242330863068" 449 49 5 -2.33078 -1.07 -0.111111 -1 0.990248 TRUE 29.6149 -15.613 14.0046 -1.6631361037873 -0.0842222743088079
"463" "2242330863068" 462 62 5 -0.165228 -1.04547 -0.111111 -1 0.995874 TRUE 32.435 -17.2309 13.4928 -1.86025039847586 0.508503689481688
"469" "2242330863068" 468 68 5 -0.34529 -0.814453 -0.111111 -1 0.933462 TRUE 33.9124 -18.8223 11.466 -1.80481327607758 0.559051524474061
"482" "2242330863068" 481 81 5 0.828248 -1.01512 -0.111111 -1 0.999543 TRUE 32.9825 -18.1331 13.3892 -1.79099034256991 -0.39362796021846
"485" "2242330863068" 484 84 5 0.752205 -0.709089 -0.111111 -1 0.84429 TRUE 31.4677 -17.9268 10.1375 -1.78840802009337 -1.42876954333761
"532" "2242330863068" 531 31 6 0.340845 -0.917305 0.111111 -1 0.986416 TRUE 31.4033 -13.6064 6.5001 -1.71732215889665 -0.260179284219779
"539" "2242330863068" 538 38 6 1.48842 -1.10467 0.111111 -1 0.978325 TRUE 31.2854 -16.1521 15.2642 -1.69089151052254 2.16810435566919
"543" "2242330863068" 542 42 6 1.14376 -0.76721 0.111111 -1 0.897285 TRUE 29.6639 -15.4629 9.82056 -1.65188161333766 -0.376964574660345
"549" "2242330863068" 548 48 6 0.0955835 -1.08545 0.111111 -1 0.985501 TRUE 27.4485 -11.9895 9.88729 -1.45600488644513 0.445434622407486
"550" "2242330863068" 549 49 6 0.10178 -0.935375 0.111111 -1 0.991682 TRUE 30.1655 -13.3826 9.29982 -1.67970751117417 -0.710122234144312
"553" "2242330863068" 552 52 6 -0.407242 -1.07834 0.111111 -1 0.987801 TRUE 29.772 -12.744 7.68391 -1.58331870474492 -1.07036182107618
"557" "2242330863068" 556 56 6 0.36562 -0.988427 0.111111 -1 0.999732 TRUE 28.3269 -12.9065 8.40142 -1.61181540742743 -0.153752756251651
"566" "2242330863068" 565 65 6 1.33303 -0.822687 0.111111 -1 0.939057 TRUE 31.4659 -15.4542 14.1227 -1.7773615385973 0.58967546319134
"586" "2242330863068" 585 85 6 -0.698101 -0.92803 0.111111 -1 0.989694 TRUE 31.8418 -14.5329 12.1723 -1.84610505796445 0.766933773002873
"592" "2242330863068" 591 91 6 -0.19933 -1.24763 0.111111 -1 0.884579 TRUE 28.3283 -13.8101 9.06467 -1.53971293180321 1.15262751560371
