"i" "nloci" "Random_cor_RDAtemppredict_tempphen" "Random_cor_RDAsalpredict_salphen" "Random_cor_RDAtemppredict_tempphen_structcorr" "Random_cor_RDAsalpredict_salphen_structcorr" seed
"2" 50 0.605161161161161 NA 0.0751231231231231 NA 1231108
"3" 100 0.680184184184184 NA 0.0912992992992993 NA 1231108
"4" 500 0.741957957957958 NA 0.14755955955956 NA 1231108
"5" 5000 0.776432432432432 NA 0.173581581581582 NA 1231108
"6" 10395 0.77622022022022 NA 0.174174174174174 NA 1231108
"1" 10 0.609062553589864 0.118177124584426 0.0282342624967734 0.124328328328328 1231109
"2" 50 0.725280005285654 0.212276276276276 0.0105205310515879 0.256940940940941 1231109
"3" 100 0.782709492202086 0.382478478478478 -0.00828229057286759 0.386650650650651 1231109
"4" 500 0.836583420003843 0.486650650650651 -0.0500961462424137 0.516868868868869 1231109
"5" 5000 0.85327212539795 0.658466466466466 -0.0694395089484922 0.670274274274274 1231109
"6" 20000 0.855362217580226 0.681953953953954 -0.0662242905148385 0.69001001001001 1231109
"1" 10 0.559959118042227 0.108923615993494 0.0224204428633174 0.119491491491491 1231110
"2" 50 0.702983964751708 0.191912902703107 0.0285746031777953 0.222642642642643 1231110
"3" 100 0.745836582419375 0.27417017017017 0.0448068516585326 0.280764764764765 1231110
"4" 500 0.808659468128001 0.529225225225225 0.0618399017416744 0.535887887887888 1231110
"5" 5000 0.845372217590231 0.60438038038038 0.0443503947451621 0.60968968968969 1231110
"6" 20000 0.848283131414971 0.622558558558558 0.0463964428393054 0.628016016016016 1231110
"1" 10 0.501529437267773 0.0415725964655595 0.014034034034034 0.0453573573573574 1231111
"2" 50 0.69246046046046 0.155527527527528 0.0617897897897898 0.156620620620621 1231111
"3" 100 0.751351351351351 0.295871871871872 0.0648288288288288 0.306718718718719 1231111
"4" 500 0.812068068068068 0.464740740740741 0.0821141141141141 0.465733733733734 1231111
"5" 5000 0.83957957957958 0.676132132132132 0.111715715715716 0.679475475475475 1231111
"6" 20000 0.847647647647648 0.685677677677678 0.113921921921922 0.707351351351351 1231111
"1" 10 0.41037232431874 0.0887360851327001 0.00705905905905906 0.0983383383383383 1231112
"2" 50 0.648640640640641 0.169105105105105 0.0458058058058058 0.184276276276276 1231112
"3" 100 0.729489489489489 0.216888888888889 0.0407967967967968 0.253429429429429 1231112
"4" 500 0.799663663663664 0.477129129129129 0.062006006006006 0.487499499499499 1231112
"5" 5000 0.840712712712713 0.647215215215215 0.0515075075075075 0.675563563563564 1231112
"6" 20000 0.844076076076076 0.710166166166166 0.0493173173173173 0.713165165165165 1231112
"1" 10 0.495678148828081 0.0927524699774142 0.0378978978978979 0.110914914914915 1231113
"2" 50 0.679479479479479 0.239287287287287 0.0275035035035035 0.279083083083083 1231113
"3" 100 0.777465465465465 0.291891891891892 0.0607287287287287 0.40976976976977 1231113
"4" 500 0.831127127127127 0.451591591591592 0.0763683683683684 0.518194194194194 1231113
"5" 5000 0.844924924924925 0.465713713713714 0.0868228228228228 0.636708708708709 1231113
"6" 16810 0.846522522522522 0.486910910910911 0.0870710710710711 0.652784784784785 1231113
"1" 10 0.194830323501839 0.411176360053321 0.00973974948924361 0.0436196196196196 1231114
"2" 50 0.534893428322018 0.558870870870871 0.0664204869074276 0.129937937937938 1231114
"3" 100 0.678132810944094 0.647103103103103 0.0921902824728014 0.129273273273273 1231114
"4" 500 0.75661937599575 0.767675675675676 0.156534691225996 0.206566566566567 1231114
"5" 5000 0.783730514245152 0.795455455455455 0.184831015846955 0.247731731731732 1231114
"6" 20000 0.785620406026826 0.80172972972973 0.196931128059286 0.238494494494494 1231114
"1" 10 0.305457977837605 0.297795480824195 0.0503023023023023 0.120808808808809 1231115
"2" 50 0.581099680780752 0.494018018018018 0.0592872872872873 0.217485485485485 1231115
"3" 100 0.619607607607608 0.555331331331331 0.0938858858858859 0.274766766766767 1231115
"4" 500 0.758514514514514 0.645713713713714 0.169737737737738 0.366786786786787 1231115
"5" 5000 0.799407407407407 0.6838998998999 0.188948948948949 0.413933933933934 1231115
"6" 20000 0.804908908908909 0.688124124124124 0.197009009009009 0.415995995995996 1231115
"1" 10 0.280335481024638 0.256442626667618 0.0156876876876877 0.0185825825825826 1231116
"2" 50 0.497117117117117 0.422074074074074 0.036016016016016 0.0616336336336336 1231116
"3" 100 0.657585585585586 0.530154154154154 0.055027027027027 0.0797477477477477 1231116
"4" 500 0.727687687687688 0.690493183677206 0.0789589589589589 0.0983383383383383 1231116
"5" 5000 0.790990990990991 0.79163963963964 0.095055055055055 0.142482482482482 1231116
"6" 20000 0.795299299299299 0.792472472472472 0.0951391391391391 0.153017017017017 1231116
"1" 10 0.270017126646678 0.21715899438485 0.01801001001001 0.00480880880880881 1231117
"2" 50 0.466442442442442 0.441457457457457 0.00790790790790791 0.0317117117117117 1231117
"3" 100 0.448756756756757 0.488712712712713 0.0138498498498498 0.0221621621621622 1231117
"4" 500 0.73236036036036 0.725441441441441 0.036968968968969 0.0355635635635636 1231117
"5" 5000 0.802614614614614 0.807695695695696 0.0170650650650651 0.0418658658658659 1231117
"6" 20000 0.812044044044044 0.81817017017017 0.0145985985985986 0.0411131131131131 1231117
"1" 10 0.428433131980506 0.340445391597871 0.0117037037037037 0.0445906352258834 1231118
"2" 50 0.626954954954955 0.587666253920468 0.0281321321321321 0.0699039738778867 1231118
"3" 100 0.707139139139139 0.64242106348487 0.0486646646646647 0.100410510921483 1231118
"4" 500 0.774482482482482 0.744951696648718 0.0221541541541542 0.130832963796826 1231118
"5" 5000 0.792152152152152 0.764767532300215 0.0365845845845846 0.139325464790325 1231118
"6" 10030 0.795543543543543 0.767978746725857 0.0393273273273273 0.139397536934541 1231118
"1" 10 0.381033639172803 0.11934260267515 0.0459780700262584 0.154806806806807 1231119
"2" 50 0.595965157088596 0.396695058728399 0.0453614521751703 0.419691691691692 1231119
"3" 100 0.6869803543164 0.493530985714718 0.110514735765458 0.510798798798799 1231119
"4" 500 0.759444963855303 0.650322322322322 0.110787008582822 0.653921921921922 1231119
"5" 5000 0.791861445169645 0.721234677147946 0.145353644351932 0.724972972972973 1231119
"6" 20000 0.794227816273496 0.739643643643644 0.145389680460112 0.740636636636637 1231119
"1" 10 0.275506415859292 0.131831133752202 0.0419019857898453 0.116874991866917 1231120
"2" 50 0.554179287647332 0.365688442414312 0.0567168302640381 0.354372727100004 1231120
"3" 100 0.598067263399123 0.425442547879748 0.0687168542881343 0.432867300167684 1231120
"4" 500 0.75146096388732 0.584493662649975 0.121257500015258 0.580627207835334 1231120
"5" 5000 0.782275840393641 0.657908566475371 0.137910186006655 0.657175833009171 1231120
"6" 20000 0.797350945649137 0.666417083500918 0.13911939763671 0.662681344025701 1231120
"1" 10 0.240818139263144 0.220353033691369 0.028976976976977 0.218926926926927 1231121
"2" 50 0.570738738738739 0.284936350192329 0.0213053053053053 0.293313313313313 1231121
"3" 100 0.635731731731732 0.346108184840185 0.0433753753753754 0.357585585585586 1231121
"4" 500 0.740224224224224 0.62438025339697 0.0674434434434434 0.632676676676677 1231121
"5" 5000 0.779463463463463 0.74917742496061 0.0968328328328328 0.752424424424424 1231121
"6" 20000 0.795835835835836 0.779455455455455 0.100008008008008 0.782862862862863 1231121
"1" 10 0.201810583321921 0.142963006657667 0.00248048296344765 0.147271271271271 1231122
"2" 50 0.483017500518261 0.332157132505604 0.0271331602934673 0.341209209209209 1231122
"3" 100 0.479682161844246 0.45482118872999 0.0140240380621072 0.455191191191191 1231122
"4" 500 0.71721192914143 0.625040916041605 0.0328028356384905 0.626710710710711 1231122
"5" 5000 0.805248053301758 0.752407159567103 0.0336757093851114 0.755651651651652 1231122
"6" 20000 0.813584397982788 0.778494494494494 0.0310891202093451 0.779207207207207 1231122
"1" 10 0.372623675292548 0.207103411382543 0.0865427158014063 0.254866866866867 1231123
"2" 50 0.56169081419695 0.408160241864712 0.0960642563850902 0.430274274274274 1231123
"3" 100 0.660898220017781 0.444211765473827 0.11449472371339 0.443731731731732 1231123
"4" 500 0.715308739358269 0.657936594531455 0.14756786299902 0.669409409409409 1231123
"5" 5000 0.760269790331434 0.713941941941942 0.145902193998679 0.711287287287287 1231123
"6" 13781 0.762896422216588 0.714486486486486 0.145509800820714 0.712504504504504 1231123
"1" 10 0.502865318780906 0.131532801208578 0.0281761761761762 0.130186186186186 1231124
"2" 50 0.679407407407407 0.240376376376376 -0.0055015015015015 0.249437437437437 1231124
"3" 100 0.714806806806807 0.336772772772773 -0.0186786786786787 0.347851851851852 1231124
"4" 500 0.773569569569569 0.503803803803804 -0.0396516516516516 0.566538538538539 1231124
"5" 5000 0.782246246246246 0.622482482482482 -0.0446486486486486 0.650214214214214 1231124
"6" 20000 0.783655655655656 0.632940940940941 -0.045013013013013 0.666114114114114 1231124
"1" 10 0.479763303098395 0.0411879049258653 0.0234674674674675 0.0533533533533533 1231125
"2" 50 0.633753654918738 0.208387012174149 0.0863743743743744 0.210818818818819 1231125
"3" 100 0.698802802802803 0.277357357357357 0.0651931931931932 0.312984984984985 1231125
"4" 500 0.751139139139139 0.477165165165165 0.101329329329329 0.491667667667668 1231125
"5" 5000 0.784104104104104 0.574698698698699 0.104044044044044 0.606910910910911 1231125
"6" 20000 0.788336336336336 0.617733733733734 0.110022022022022 0.628508508508508 1231125
"1" 10 0.443796251111491 0.0748133115610452 0.00842042042042042 0.0867387387387387 1231126
"2" 50 0.68603003003003 0.181865865865866 0.0453853853853854 0.21025025025025 1231126
"3" 100 0.700900900900901 0.251207207207207 0.054998998998999 0.262934934934935 1231126
"4" 500 0.73388988988989 0.422834834834835 0.0778138138138138 0.457005005005005 1231126
"5" 5000 0.776476476476476 0.655147147147147 0.0895135135135135 0.669241241241241 1231126
"6" 20000 0.775655655655656 0.689001001001001 0.0916476476476476 0.695871871871872 1231126
"1" 10 0.347603589225632 0.0967297161512788 0.00961761761761762 0.0964284284284284 1231127
"2" 50 0.637357357357357 0.197041041041041 0.0218098098098098 0.217329329329329 1231127
"3" 100 0.673625625625626 0.238918918918919 0.047023023023023 0.252272272272272 1231127
"4" 500 0.727631631631632 0.453797797797798 -0.0141701701701702 0.467303303303303 1231127
"5" 5000 0.766666666666667 0.650098098098098 0.0162922922922923 0.659611611611612 1231127
"6" 20000 0.767911911911912 0.681309309309309 0.0131091091091091 0.685253253253253 1231127
"1" 10 0.406210114729064 0.135842693764978 0.0103383383383383 0.197357357357357 1231128
"2" 50 0.61573973973974 0.196504504504504 0.0414054054054054 0.219075075075075 1231128
"3" 100 0.693861861861862 0.367851851851852 0.044016016016016 0.408524524524524 1231128
"4" 500 0.75427027027027 0.438690690690691 0.0530890890890891 0.565565565565565 1231128
"5" 5000 0.765009009009009 0.524664664664665 0.0837317317317317 0.664488488488488 1231128
"6" 12859 0.764960960960961 0.52426026026026 0.0791311311311311 0.660624624624625 1231128
"1" 10 0.341769474695092 0.32480253518157 0.0728368368368368 0.0286146432579155 1231129
"2" 50 0.493205205205205 0.591333925259481 0.137005005005005 0.0838138977116513 1231129
"3" 100 0.588088088088088 0.658140798940068 0.153373373373373 0.0899600500101051 1231129
"4" 500 0.685233233233233 0.762445207653243 0.173997997997998 0.112951064015136 1231129
"5" 5000 0.707359359359359 0.797236033269702 0.190458458458458 0.144506651157881 1231129
"6" 20000 0.709461461461461 0.80125205330576 0.193945945945946 0.139425564990625 1231129
"1" 10 0.203017702181217 0.289890731683668 0.0256797053851033 0.157485485485485 1231130
"2" 50 0.503229732962948 0.510898898898899 0.11808820629456 0.220816816816817 1231130
"3" 100 0.619558177736224 0.538238238238238 0.127938066004134 0.254806806806807 1231130
"4" 500 0.68127195322552 0.643023023023023 0.218969188157455 0.381013013013013 1231130
"5" 5000 0.721071792865019 0.702622622622623 0.244354598953675 0.428316316316316 1231130
"6" 20000 0.724779504284151 0.695747747747748 0.250652903556586 0.432052052052052 1231130
"1" 10 0.203438104657413 0.165734572728698 0.0240500741242104 -0.00867267267267267 1231131
"2" 50 0.498741239981471 0.41567967967968 0.00387788175964334 0.0201161161161161 1231131
"3" 100 0.608747356103765 0.475523523523523 0.0148728877606559 0.0265585585585586 1231131
"4" 500 0.664771436207977 0.709173173173173 0.0541762304066642 0.0505505505505505 1231131
"5" 5000 0.713440153594105 0.803619619619619 0.0424484909394516 0.0425425425425425 1231131
"6" 20000 0.71592664256957 0.814858858858859 0.0536076612689571 0.039971971971972 1231131
"1" 10 0.212822201575804 0.250904198189438 -0.0108708708708709 -0.0492212212212212 1231132
"2" 50 0.398058058058058 0.420244244244244 -0.0151151151151151 0.0153393393393393 1231132
"3" 100 0.470134134134134 0.518726726726727 0.0128448448448448 0.0201801801801802 1231132
"4" 500 0.624532532532532 0.710642642642643 0.0327527527527528 0.0359479479479479 1231132
"5" 5000 0.692552552552552 0.797449449449449 0.0285165165165165 0.0534254254254254 1231132
"6" 20000 0.699023023023023 0.809661661661662 0.0205165165165165 0.0525405405405405 1231132
"1" 10 0.304944785452708 0.510846061691802 0.0496976976976977 0.047035035035035 1231133
"2" 50 0.470026026026026 0.67421021021021 0.122246246246246 0.088044044044044 1231133
"3" 100 0.578934934934935 0.706802802802803 0.154542542542543 0.0745185185185185 1231133
"4" 500 0.602478478478478 0.729237237237237 0.205453453453453 0.0968328328328328 1231133
"5" 5000 0.581045045045045 0.733241241241241 0.204196196196196 0.133341341341341 1231133
"6" 7336 0.582162162162162 0.735299299299299 0.202134134134134 0.130014014014014 1231133
"1" 10 0.228280209160906 0.194187859173092 0.0155936092028198 0.201297297297297 1231134
"2" 50 0.499938438377066 0.367601807424893 0.0863604468072973 0.405817817817818 1231134
"3" 100 0.580294875170336 0.500512516632798 0.119301420722203 0.505857857857858 1231134
"4" 500 0.659301961263555 0.684234971917284 0.148498647145867 0.689885885885886 1231134
"5" 5000 0.689664354018718 0.736044044044044 0.162560723284089 0.737325325325325 1231134
"6" 20000 0.694553247801397 0.750314314314314 0.166492659151894 0.751327327327327 1231134
"1" 10 0.244414605401499 0.204414786624393 0.0205605605605606 0.205808013821939 1231135
"2" 50 0.464675139815188 0.281136542226204 0.0437877877877878 0.310248558807522 1231135
"3" 100 0.588088088088088 0.455162168971283 0.0934814814814815 0.458725183909323 1231135
"4" 500 0.658066066066066 0.562288537692969 0.154530530530531 0.588779368147811 1231135
"5" 5000 0.713701701701702 0.664947612560506 0.196108108108108 0.677768446215 1231135
"6" 20000 0.713901901901902 0.683562245808396 0.201285285285285 0.693872566439353 1231135
"1" 10 0.332653342260758 0.332947115461521 -0.00267067067067067 0.335427427427427 1231136
"2" 50 0.465437437437437 0.222684911772035 0.000744744744744745 0.226630630630631 1231136
"3" 100 0.582526526526526 0.443298845250212 0.0242402402402402 0.450718718718719 1231136
"4" 500 0.677009009009009 0.625557310665801 0.0409089089089089 0.634358358358358 1231136
"5" 5000 0.716396396396396 0.762538538538538 0.0433353353353353 0.765821821821822 1231136
"6" 20000 0.724384384384384 0.777813813813814 0.047039039039039 0.782858858858859 1231136
"1" 10 0.19512515924219 0.135884267820026 -0.00382382382382382 0.136368641378935 1231137
"2" 50 0.402386386386386 0.316518633388454 0.00377177177177177 0.318375011762423 1231137
"3" 100 0.490862862862863 0.395220777769715 0.0283123123123123 0.405081892056652 1231137
"4" 500 0.617021021021021 0.62928254110745 0.0329529529529529 0.632181445809967 1231137
"5" 5000 0.688428428428428 0.754764273803862 0.0194514514514515 0.754275784337416 1231137
"6" 20000 0.708472472472472 0.777459013933518 0.0210890890890891 0.776802355962229 1231137
"1" 10 0.371064573470752 0.206750150803473 0.0688648648648649 0.200116116116116 1231138
"2" 50 0.550122122122122 0.456815556458028 0.0954114114114114 0.455195195195195 1231138
"3" 100 0.626846846846847 0.523410981216518 0.103855855855856 0.523191191191191 1231138
"4" 500 0.718830830830831 0.634446446446446 0.115295295295295 0.663755755755756 1231138
"5" 5000 0.734354354354354 0.677151828981149 0.130034034034034 0.718698698698699 1231138
"6" 10825 0.736324324324324 0.689145145145145 0.138670670670671 0.7197997997998 1231138
"1" 10 0.581206860473452 0.116848690439129 -0.0200100300400801 0.117259376636071 1231139
"2" 50 0.714236951188497 0.213167380548035 -0.00833434267702387 0.301704005709867 1231139
"3" 100 0.743125868995236 0.307661969631755 -0.037243280523823 0.31212643856516 1231139
"4" 500 0.813856670527605 0.476703179883302 -0.0729430159590115 0.544398943342558 1231139
"5" 5000 0.82269752021815 0.659049708758797 -0.120955076031168 0.664018682701717 1231139
"6" 20000 0.822841664506583 0.670885556442334 -0.117787905693658 0.675205881087306 1231139
"1" 10 0.616599685759223 0.180105383744616 0.0186626626626627 0.184170354524972 1231140
"2" 50 0.593583284434795 0.175892871384842 0.0732412412412412 0.190688879568544 1231140
"3" 100 0.714966966966967 0.231213444658219 0.0548868868868869 0.271918190108435 1231140
"4" 500 0.771667667667668 0.454128582711522 0.0713193193193193 0.465187652840726 1231140
"5" 5000 0.804548548548548 0.610677287965559 0.0848768768768769 0.628074702777795 1231140
"6" 20000 0.805737737737738 0.617484101585997 0.0802362362362362 0.632799432231981 1231140
"1" 10 0.508347529928517 0.0775130458325573 0.0509530039569864 0.0813773773773774 1231141
"2" 50 0.645295941237502 0.137617617617618 0.0627408035443793 0.154142142142142 1231141
"3" 100 0.708835544380279 0.217925925925926 0.0675536211748298 0.242222222222222 1231141
"4" 500 0.782100882984259 0.430906906906907 0.113407520928506 0.461217217217217 1231141
"5" 5000 0.816303119422951 0.634674674674675 0.116150266416741 0.67173973973974 1231141
"6" 20000 0.821304125429966 0.694502502502502 0.118700819520399 0.707195195195195 1231141
"1" 10 0.390058150935202 0.0742757897010509 0.02002002002002 0.0763323323323323 1231142
"2" 50 0.619499499499499 0.154682682682683 0.0180780780780781 0.16243043043043 1231142
"3" 100 0.643963963963964 0.275231231231231 0.024996996996997 0.275179179179179 1231142
"4" 500 0.778810810810811 0.428848848848849 0.0241201201201201 0.43987987987988 1231142
