"nloci" "Random_cor_RDAtemppredict_tempphen" "Random_cor_RDAsalpredict_salphen" "Random_cor_RDAtemppredict_tempphen_structcorr" "Random_cor_RDAsalpredict_salphen_structcorr" seed
"1" 10 0.337408016856369 NA 0.0346106106106106 NA 1231100
"2" 50 0.637637637637638 NA 0.0723403403403403 NA 1231100
"3" 100 0.664148148148148 NA 0.142346346346346 NA 1231100
"4" 500 0.752428428428428 NA 0.230014014014014 NA 1231100
"5" 5000 0.801541541541541 NA 0.284456456456456 NA 1231100
"6" 20000 0.812608608608609 NA 0.297813813813814 NA 1231100
"1" 10 0.386360277811813 NA 0.00196596990184559 NA 1231101
"2" 50 0.574451600504856 NA 0.0282402967774275 NA 1231101
"3" 100 0.639048326424357 NA 0.049637737012586 NA 1231101
"4" 500 0.744333822491627 NA 0.0915997829827321 NA 1231101
"5" 5000 0.799372971719263 NA 0.10910131952238 NA 1231101
"6" 20000 0.804061669794744 NA 0.116885118889361 NA 1231101
"1" 10 0.159729642615064 NA 0.0142883025909006 NA 1231102
"2" 50 0.420390811202224 NA 0.0266606873480487 NA 1231102
"3" 100 0.545608153762189 NA 0.0365666031697913 NA 1231102
"4" 500 0.736118854974198 NA 0.0331631963595725 NA 1231102
"5" 5000 0.818088906996313 NA 0.0451031482514222 NA 1231102
"6" 20000 0.834537371909699 NA 0.0419920340260811 NA 1231102
"1" 10 0.501972621064837 NA 0.0572292292292292 NA 1231103
"2" 50 0.575487487487487 NA 0.0773013013013013 NA 1231103
"3" 100 0.665921921921922 NA 0.0645885885885886 NA 1231103
"4" 500 0.765593593593593 NA 0.0756276276276276 NA 1231103
"5" 5000 0.776508508508508 NA 0.0554114114114114 NA 1231103
"6" 10639 0.780976976976977 NA 0.0576256256256256 NA 1231103
"1" 10 0.246331852490244 NA 0.0315635635635636 NA 1231104
"2" 50 0.481513513513513 NA 0.0748428428428428 NA 1231104
"3" 100 0.655727727727728 NA 0.0799359359359359 NA 1231104
"4" 500 0.77206006006006 NA 0.143867867867868 NA 1231104
"5" 5000 0.813885885885886 NA 0.178530530530531 NA 1231104
"6" 20000 0.819903903903904 NA 0.180864864864865 NA 1231104
"1" 10 0.212917472151292 NA 0.0408088088088088 NA 1231105
"2" 50 0.543375375375375 NA 0.0627667667667668 NA 1231105
"3" 100 0.625961961961962 NA 0.0805045045045045 NA 1231105
"4" 500 0.739091091091091 NA 0.159151151151151 NA 1231105
"5" 5000 0.801337337337337 NA 0.17019019019019 NA 1231105
"6" 20000 0.807763763763764 NA 0.171827827827828 NA 1231105
"1" 10 0.292028154552667 NA 0.0155835835835836 NA 1231106
"2" 50 0.538282282282282 NA 0.0495135135135135 NA 1231106
"3" 100 0.597837837837838 NA 0.0487047047047047 NA 1231106
"4" 500 0.734026026026026 NA 0.0762602602602603 NA 1231106
"5" 5000 0.788948948948949 NA 0.12574974974975 NA 1231106
"6" 20000 0.803747747747748 NA 0.130254254254254 NA 1231106
"1" 10 0.371897380972094 NA 0.0112912912912913 NA 1231107
"2" 50 0.456980980980981 NA 0.00215815815815816 NA 1231107
"3" 100 0.546222222222222 NA 0.0163003003003003 NA 1231107
"4" 500 0.724312312312312 NA 0.0386346346346346 NA 1231107
"5" 5000 0.815047047047047 NA 0.00896096096096096 NA 1231107
"6" 20000 0.828196196196196 NA 0.00368768768768769 NA 1231107
"1" 10 0.446561345335231 NA 0.0211671883555545 NA 1231108
"2" 50 0.586316903220417 NA 0.0818919738658807 NA 1231108
"3" 100 0.660411071482885 NA 0.0922223145368976 NA 1231108
"4" 500 0.741636378014764 NA 0.140122262384717 NA 1231108
"5" 5000 0.770693464158008 NA 0.162024186210478 NA 1231108
"6" 10395 0.771626398024809 NA 0.164574739314136 NA 1231108
"1" 10 0.475441009548682 0.073981771176238 0.0503103103103103 0.114446446446446 1231109
"2" 50 0.710218218218218 0.258326326326326 -0.00456456456456456 0.270510510510511 1231109
"3" 100 0.775895895895896 0.326558558558559 -0.00038038038038038 0.348972972972973 1231109
"4" 500 0.839311311311311 0.520504504504504 -0.0271431431431431 0.535767767767768 1231109
"5" 5000 0.849733733733734 0.622074074074074 -0.0412012012012012 0.665257257257257 1231109
"6" 20000 0.850926926926927 0.646598598598598 -0.0490730730730731 0.678762762762763 1231109
"1" 10 0.505585009603607 0.0704774047032431 0.0211211634057749 0.0752552552552552 1231110
"2" 50 0.71643802021067 0.125615992841386 0.0446287179755008 0.166994994994995 1231110
"3" 100 0.752642147433235 0.259595595595596 0.0489570549691771 0.273805805805806 1231110
"4" 500 0.812249874375751 0.489049049049049 0.0685807178794525 0.498054054054054 1231110
"5" 5000 0.849222921368912 0.589313313313313 0.0706227640096791 0.605705705705706 1231110
"6" 20000 0.850892594381274 0.620352352352352 0.067775911463422 0.62574974974975 1231110
"1" 10 0.434764965860674 0.0684017146269451 0.028036036036036 0.0784224224224224 1231111
"2" 50 0.698234234234234 0.23423023023023 0.0449049049049049 0.235027027027027 1231111
"3" 100 0.712992992992993 0.240304304304304 0.0781821821821822 0.25187987987988 1231111
"4" 500 0.798838838838839 0.474054054054054 0.103511511511512 0.511243243243243 1231111
"5" 5000 0.843235235235235 0.667007007007007 0.118834834834835 0.689373373373373 1231111
"6" 20000 0.850666666666667 0.694574574574574 0.122318318318318 0.713277277277277 1231111
"1" 10 0.477592859080252 0.0805782777279455 -0.0261021021021021 0.0858338338338338 1231112
"2" 50 0.660836836836837 0.185741741741742 0.0541421421421421 0.211187187187187 1231112
"3" 100 0.700028028028028 0.304552552552553 0.0427427427427427 0.308936936936937 1231112
"4" 500 0.803555555555555 0.454126126126126 0.0465065065065065 0.487723723723724 1231112
"5" 5000 0.84233033033033 0.667927927927928 0.0574974974974975 0.668188188188188 1231112
"6" 20000 0.844808808808809 0.695635635635636 0.0551871871871872 0.69792992992993 1231112
"1" 10 0.619760555899033 0.103167854263989 0.0374294294294294 0.12793993993994 1231113
"2" 50 0.75380980980981 0.331175175175175 0.0686966966966967 0.330374374374374 1231113
"3" 100 0.784904904904905 0.323263263263263 0.0523403403403403 0.35612012012012 1231113
"4" 500 0.835199199199199 0.354810810810811 0.0733853853853854 0.519827827827828 1231113
"5" 5000 0.843175175175175 0.472176176176176 0.0848368368368368 0.651051051051051 1231113
"6" 16785 0.846126126126126 0.466974974974975 0.0881761761761762 0.654830830830831 1231113
"1" 10 0.247404547140172 0.222905473293313 0.0503183183183183 0.0461722183906321 1231114
"2" 50 0.518853372225858 0.57041155237548 0.0856096096096096 0.0986327313641449 1231114
"3" 100 0.659123123123123 0.679602281884507 0.0757237237237237 0.112138250388695 1231114
"4" 500 0.736416416416416 0.747610357968701 0.172404404404404 0.172610783394264 1231114
"5" 5000 0.781373373373373 0.782633416049858 0.188948948948949 0.218188406595111 1231114
"6" 20000 0.785621621621622 0.791141933075404 0.198686686686687 0.223549773323208 1231114
"1" 10 0.375046593996867 0.40217386056693 0.0356817173991344 0.0957378335714529 1231115
"2" 50 0.560094654749685 0.50695746442214 0.0764705470176029 0.222200422623157 1231115
"3" 100 0.666809476286096 0.568010578589452 0.0939720660381512 0.276014290304733 1231115
"4" 500 0.748423171595141 0.642477119597038 0.156855011866957 0.36335371707097 1231115
"5" 5000 0.796939736676812 0.67802470272777 0.193179372552021 0.409796206002414 1231115
"6" 20000 0.805051856909169 0.687189877067288 0.199793993787882 0.418080498579287 1231115
"1" 10 0.223990231730805 0.286972003620173 0.00428228656885757 0.0248408408408408 1231116
"2" 50 0.514199227626081 0.420939360299871 0.0215475691166966 0.0589309309309309 1231116
"3" 100 0.639898538437296 0.541285285285285 0.0314134448583189 0.0702342342342342 1231116
"4" 500 0.722525247773383 0.684464464464464 0.0645866512379215 0.0891131131131131 1231116
"5" 5000 0.79394473868382 0.793057057057057 0.0881101983085509 0.111331331331331 1231116
"6" 20000 0.804735540276219 0.8002002002002 0.0849630480111016 0.108936936936937 1231116
"1" 10 0.140913908612439 0.173986566737618 0.00691891891891892 0.000904904904904905 1231117
"2" 50 0.49433033033033 0.444528528528528 0.0157437437437437 0.0317397397397397 1231117
"3" 100 0.583655655655656 0.473485485485485 0.0126486486486486 0.00549349349349349 1231117
"4" 500 0.717837837837838 0.707371371371371 0.0118718718718719 0.051039039039039 1231117
"5" 5000 0.800048048048048 0.790726726726727 0.0157477477477477 0.0447287287287287 1231117
"6" 20000 0.807011011011011 0.807223223223223 0.0133053053053053 0.051983983983984 1231117
"1" 10 0.450048045863015 0.358215887473705 0.0264524789314236 0.00387387775163132 1231118
"2" 50 0.598351548251348 0.512189213592019 0.035245280525824 0.0574354929284501 1231118
"3" 100 0.696098794894037 0.643990634625582 0.051241292533852 0.0733153887041295 1231118
"4" 500 0.763193957151491 0.733960694655718 0.0639700340040701 0.130877007884958 1231118
"5" 5000 0.79042121163324 0.771169941111439 0.0553333887221386 0.141972114086271 1231118
"6" 10032 0.792275067342807 0.776655432087909 0.0546567113681068 0.142656799456327 1231118
"1" 10 0.310798926137723 0.23176295277321 0.0357738095834109 0.245229229229229 1231119
"2" 50 0.602216819036157 0.367937409161745 0.12567179746933 0.400376376376376 1231119
"3" 100 0.666072738811884 0.495297278471552 0.131005136141343 0.529521521521521 1231119
"4" 500 0.73794468262768 0.649606803678917 0.184839023862979 0.650902902902903 1231119
"5" 5000 0.779145925071386 0.717613613613614 0.192682875558531 0.720668668668669 1231119
"6" 20000 0.783774558333284 0.732864864864865 0.195661857519475 0.732828828828829 1231119
"1" 10 0.268580465084122 0.17557136744591 0.0196356749463355 0.171073244317648 1231120
"2" 50 0.568235645060068 0.319276384838317 0.0533374441191141 0.320674995670827 1231120
"3" 100 0.621859102822273 0.529902141368047 0.0655817128764335 0.533596129726123 1231120
"4" 500 0.738704181591433 0.587815579026057 0.114318547184508 0.586925512438244 1231120
"5" 5000 0.79683843211057 0.658389047436814 0.129982242206952 0.657400057457844 1231120
"6" 20000 0.801799403003415 0.662413075488896 0.135455726638363 0.665255921177432 1231120
"1" 10 0.317334353247618 0.115191058735586 0.00856657514172115 0.116352352352352 1231121
"2" 50 0.52584837422286 0.268494401343215 0.0133553687240995 0.270026026026026 1231121
"3" 100 0.633804438242998 0.388199363963804 0.0358498857356393 0.390062062062062 1231121
"4" 500 0.731618349968685 0.592811404215917 0.0602342945288535 0.593565565565566 1231121
"5" 5000 0.780651432083907 0.763794558353294 0.121475597072731 0.763943943943944 1231121
"6" 20000 0.796022818842059 0.781665665665666 0.119293412706179 0.783243243243243 1231121
"1" 10 0.0886663720766296 0.145141546969975 0.00576376953330572 0.145681681681682 1231122
"2" 50 0.445644089734047 0.239956275527399 0.00638038676715712 0.238062062062062 1231122
"3" 100 0.513195708904871 0.362363813271426 0.0224724949674737 0.366978978978979 1231122
"4" 500 0.699994694689735 0.615834450285044 0.0486466953420618 0.614618618618619 1231122
"5" 5000 0.794317111428938 0.748936936936937 0.0631652283936537 0.74974974974975 1231122
"6" 20000 0.807598406004815 0.775931931931932 0.0704445149595097 0.774158158158158 1231122
"1" 10 0.277025625725421 0.214727434736716 0.050034034034034 0.214166166166166 1231123
"2" 50 0.621848470319101 0.448999040049613 0.0813853853853854 0.45015015015015 1231123
"3" 100 0.678758758758759 0.495236226700145 0.12775975975976 0.52377977977978 1231123
"4" 500 0.717881881881882 0.643367367367367 0.146858858858859 0.635787787787788 1231123
"5" 5000 0.758414414414414 0.720236236236236 0.155151151151151 0.715863863863864 1231123
"6" 13778 0.758402402402402 0.724072072072072 0.15181981981982 0.719963963963964 1231123
"1" 10 0.489088920667433 0.0913711719408337 0.0206206206206206 0.0986386386386386 1231124
"2" 50 0.675215215215215 0.261013013013013 -0.00770770770770771 0.292668668668669 1231124
"3" 100 0.741537537537537 0.346894894894895 -0.00557357357357357 0.363783783783784 1231124
"4" 500 0.778602602602603 0.476064064064064 -0.0311591591591592 0.534698698698699 1231124
"5" 5000 0.783787787787788 0.63823023023023 -0.0549349349349349 0.656588588588588 1231124
"6" 20000 0.78633033033033 0.65853053053053 -0.0543023023023023 0.668620620620621 1231124
"1" 10 0.289130531843608 0.0863663220991606 0.0161881881881882 0.0856896896896897 1231125
"2" 50 0.656990275234832 0.159081877288666 0.060964964964965 0.172008008008008 1231125
"3" 100 0.688660660660661 0.260684684684685 0.0871111111111111 0.308900900900901 1231125
"4" 500 0.752812812812813 0.44560960960961 0.0997077077077077 0.472728728728729 1231125
"5" 5000 0.776264264264264 0.553061061061061 0.12198998998999 0.594038038038038 1231125
"6" 20000 0.776936936936937 0.595807807807808 0.119471471471471 0.628364364364364 1231125
"1" 10 0.269926301212627 0.119118575599235 -0.000984984984984985 0.116152152152152 1231126
"2" 50 0.66432032032032 0.138218218218218 0.0449449449449449 0.142542542542543 1231126
"3" 100 0.70442042042042 0.243111111111111 0.0494934934934935 0.26393993993994 1231126
"4" 500 0.743275275275275 0.474614614614615 0.0738938938938939 0.488844844844845 1231126
"5" 5000 0.778438438438438 0.655627627627627 0.0912472472472472 0.656308308308308 1231126
"6" 20000 0.777589589589589 0.689861861861862 0.0924444444444444 0.70357957957958 1231126
"1" 10 0.32720415184623 0.0556586550096708 0.00536136136136136 0.0686726726726727 1231127
"2" 50 0.586734734734735 0.16781981981982 0.00492492492492492 0.186650650650651 1231127
"3" 100 0.664644644644645 0.232292292292292 -0.00258258258258258 0.235991991991992 1231127
