"LAcalc_SLiM" "LAcalc_1000ind_allmuts" "LAcalc_1000ind_NoMAFmuts" "LAcalc_1000ind_ClinalMuts" "LAcalc_1000ind_ClinalMutsLFMM" "LAcalc_1000ind_NonClinalMuts" "LAcalc_1000ind_RandomMuts_nClinal" "LAcalc_1000ind_RandomMuts_nNonClinal" "LAcalc_1000ind_nClinal" "LAcalc_1000ind_nNonClinal" "seed"
0.574 0.629 0.579 0.57 0.46 0.012 0.263 0.411 44 31 1231416
0.568 0.624 0.589 0.57 0.455 0.022 0.099 0.518 49 38 1231417
0.569 0.619 0.617 0.603 0.118 0.016 0.285 0.174 35 21 1231418
0.57 0.643 0.634 0.427 0.512 0.126 0.143 0.555 35 38 1231419
0.555 0.64 0.625 0.424 0.447 0.122 0.157 0.45 33 40 1231420
0.572 0.648 0.633 0.443 0.494 0.143 0.098 0.563 41 60 1231421
0.569 0.646 0.63 0.532 0.568 0.092 0.147 0.6 25 56 1231422
0.537 0.612 0.535 0.323 0.388 0.11 0.141 0.417 22 29 1231423
0.313 0.391 0.318 0.172 0.1 0.083 0.212 0.177 36 42 1231424
0.313 0.392 0.246 0.164 0.104 0.031 0.173 0.156 51 59 1231425
0.32 0.396 0.377 0.186 0.277 0.163 0.241 0.212 67 79 1231426
0.324 0.396 0.37 0.254 0.301 0.1 0.173 0.272 51 54 1231427
0.326 0.401 0.386 0.275 0.267 0.087 0.104 0.272 38 42 1231428
0.412 0.443 0.438 0.431 0.36 0.01 0.158 0.215 36 40 1231429
0.402 0.433 0.426 0.415 0.253 0.015 0.186 0.197 49 46 1231430
0.408 0.443 0.431 0.42 0.294 0.016 0.116 0.364 71 35 1231431
0.406 0.442 0.429 0.413 0.317 0.021 0.085 0.404 46 63 1231432
0.397 0.43 0.425 0.412 0.253 0.018 0.253 0.278 33 28 1231433
0.408 0.463 0.444 0.263 0.299 0.149 0.096 0.325 31 57 1231434
0.407 0.459 0.442 0.246 0.369 0.15 0.16 0.327 27 53 1231435
0.412 0.471 0.453 0.227 0.352 0.209 0.067 0.404 40 72 1231436
0.418 0.473 0.46 0.28 0.368 0.159 0.026 0.45 37 89 1231437
0.408 0.461 0.455 0.314 0.328 0.143 0.11 0.35 28 50 1231438
0.492 0.583 0.54 0.437 0.323 0.082 0.243 0.148 17 17 1231439
0.503 0.605 0.532 0.434 0.309 0.06 0.425 0.211 21 15 1231440
0.501 0.607 0.596 0.456 0.544 0.088 0.221 0.114 24 17 1231441
0.502 0.608 0.58 0.487 0.511 0.076 0.178 0.4 22 15 1231442
0.496 0.59 0.579 0.381 0.15 0.092 0.15 0.29 23 17 1231443
0.563 0.623 0.618 0.617 0.528 0.001 0.29 0.323 16 3 1231444
0.564 0.623 0.533 0.531 0.278 0.002 0.272 0.261 25 5 1231445
0.579 0.632 0.624 0.615 0.568 0.015 0.259 0.229 22 12 1231446
0.573 0.634 0.628 0.62 0.551 0.01 0.099 0.453 21 6 1231447
0.56 0.617 0.565 0.563 0.231 -0.005 0.153 0.362 22 3 1231448
0.555 0.634 0.626 0.404 0.398 0.163 0.023 0.427 18 20 1231449
0.555 0.638 0.621 0.339 0.378 0.236 0.135 0.609 13 21 1231450
0.571 0.645 0.595 0.488 0.567 0.15 0.106 0.512 19 14 1231451
0.565 0.645 0.639 0.515 0.532 0.107 0.016 0.578 21 16 1231452
0.548 0.621 0.586 0.386 0.236 0.124 0.104 0.471 17 15 1231453
0.322 0.408 0.392 0.228 0.129 0.115 0.161 0.14 24 23 1231454
0.316 0.405 0.358 0.237 0.205 0.118 0.261 0.226 27 30 1231455
0.316 0.393 0.375 0.229 0.264 0.098 0.223 0.168 33 31 1231456
0.321 0.4 0.355 0.25 0.24 0.081 0.176 0.167 28 27 1231457
0.327 0.398 0.379 0.248 0.107 0.102 0.189 0.155 19 17 1231458
0.399 0.431 0.396 0.393 0.307 0.004 0.18 0.268 21 5 1231459
0.399 0.432 0.419 0.414 0.301 0.017 0.068 0.254 24 13 1231460
0.406 0.444 0.438 0.413 0.343 0.041 0.171 0.211 20 11 1231461
0.405 0.444 0.348 0.33 0.241 0.008 0.014 0.311 30 12 1231462
0.396 0.435 0.431 0.428 0.208 0.002 0.148 0.23 19 2 1231463
0.4 0.458 0.454 0.286 0.375 0.151 0.091 0.364 10 19 1231464
0.41 0.461 0.447 0.187 0.351 0.202 0.276 0.422 13 26 1231465
0.414 0.473 0.461 0.241 0.307 0.174 0.182 0.427 19 23 1231466
0.412 0.473 0.458 0.334 0.417 0.117 0.02 0.371 12 23 1231467
0.391 0.452 0.435 0.313 0.257 0.116 0.197 0.297 11 22 1231468
0.5 0.52 0.52 0.521 0.364 -0.003 0.265 0.138 4 1 1231469
0.48 0.508 0.494 0.494 0.494 0 0 0.453 3 0 1231470
0.5 0.533 0.532 0.532 0.489 0 0.3 0.416 5 0 1231471
0.502 0.529 0.529 0.529 0.529 0 0.403 0.433 4 0 1231472
0.487 0.518 0.518 0.518 0.306 0 0.434 0.227 5 0 1231473
0.47 0.516 0.516 0.516 0.492 0 0.002 0.241 4 0 1231474
0.481 0.513 0.513 0.513 0.513 0 0.244 0.337 4 0 1231475
0.497 0.519 0.519 0.519 0.515 0 0.338 0.214 7 0 1231476
0.481 0.529 0.529 0.529 0.529 0 0.255 0.355 5 0 1231477
0.479 0.51 0.51 0.51 0.51 0 0.267 0.261 4 0 1231478
0.487 0.523 0.523 0.523 0.523 0 0.107 0.433 5 1 1231479
0.496 0.533 0.533 0.533 0.407 0 0.309 0.425 5 0 1231480
0.498 0.525 0.525 0.525 0.469 0 0.154 0.117 5 0 1231481
0.492 0.529 0.502 0.502 0.502 0.001 0.103 0.341 6 1 1231482
0.479 0.523 0.523 0.523 0.248 0 0.202 0.523 4 0 1231483
0.481 0.572 0.557 0.486 0.445 0.055 0.064 0.277 7 3 1231484
0.426 0.519 0.479 0.411 0.419 0.058 0.136 0.148 8 4 1231485
0.519 0.607 0.607 0.522 0.598 0.029 0.281 0.328 10 3 1231486
0.495 0.606 0.606 0.415 0.592 0.024 0.14 0.208 8 4 1231487
0.49 0.573 0.569 0.483 0.325 0.059 0.327 0.263 6 5 1231488
0.57 0.623 0.623 0.623 0.623 0 0.267 0.244 7 1 1231489
0.537 0.612 0.611 0.561 0.409 0.029 0.134 0.203 9 1 1231490
0.569 0.619 0.618 0.618 0.618 0 0.285 0.425 9 0 1231491
0.57 0.624 0.623 0.623 0.623 0 0.144 0.554 6 0 1231492
0.521 0.58 0.58 0.58 0.563 0 0.245 0.208 6 0 1231493
0.532 0.602 0.601 0.545 0.568 0.017 0.044 0.553 8 2 1231494
0.565 0.653 0.653 0.648 0.64 -0.002 0.502 0.56 8 1 1231495
0.571 0.649 0.649 0.638 0.612 -0.004 0 0.298 8 2 1231496
0.568 0.642 0.642 0.605 0.635 0.035 0 0.635 9 1 1231497
0.545 0.623 0.623 0.603 0.501 0.01 0.187 0.139 9 2 1231498
0.314 0.399 0.37 0.352 0.289 0.019 0.057 0.045 6 1 1231499
0.287 0.338 0.154 0.152 0.104 0.009 -0.028 0.1 10 1 1231500
0.334 0.415 0.41 0.357 0.41 0.047 0.083 0.013 7 3 1231501
0.325 0.392 0.392 0.369 0.392 0.019 0.041 0.269 8 1 1231502
0.322 0.394 0.372 0.25 0.214 0.079 0.26 0.188 6 5 1231503
0.376 0.401 0.401 0.399 0.35 0.001 0.062 0.359 7 1 1231504
0.37 0.407 0.394 0.394 0.318 0 0.365 0.269 8 0 1231505
0.376 0.417 0.417 0.4 0.39 0.019 0.22 0.307 7 1 1231506
0.378 0.415 0.415 0.415 0.355 0 0.187 0.369 6 0 1231507
0.376 0.408 0.407 0.407 0.302 0 0.302 0.265 5 0 1231508
0.371 0.439 0.431 0.231 0.426 0.112 0.092 0.346 3 4 1231509
0.392 0.44 0.436 0.395 0.436 0.027 0.09 0.395 4 2 1231510
0.42 0.481 0.481 0.481 0.481 0 0.197 0.215 6 0 1231511
0.409 0.452 0.453 0.351 0.434 0.09 0 0.344 7 3 1231512
0.389 0.449 0.449 0.395 0.432 0.059 0.049 0.406 6 3 1231513
0.471 0.585 0.565 0.469 0.454 0.037 0.432 0.21 7 4 1231514
0.457 0.558 0.411 0.179 0.412 0.184 0.28 0.132 3 6 1231515
0.488 0.59 0.59 0.477 0.589 0.088 0.249 0.239 6 7 1231516
0.462 0.566 0.559 0.482 0.54 0.034 0.521 0.473 8 4 1231517
0.445 0.548 0.532 0.436 0.321 0.083 0.396 0.125 5 6 1231518
0.517 0.587 0.572 0.572 0.298 0 0.044 0.126 5 0 1231519
0.553 0.616 0.616 0.605 0.343 0.011 0.196 0.242 9 1 1231520
0.551 0.614 0.614 0.614 0.53 0 0.203 0.35 7 0 1231521
0.557 0.622 0.615 0.615 0.577 0 0 0.475 7 0 1231522
0.512 0.587 0.587 0.587 0.225 0 0.296 0.498 6 0 1231523
0.537 0.609 0.609 0.415 0.609 0.106 0.065 0.311 5 2 1231524
0.537 0.613 0.613 0.465 0.467 0.112 0.311 0.367 5 2 1231525
0.546 0.637 0.531 0.552 0.512 0.001 0.133 0.323 7 2 1231526
0.549 0.638 0.638 0.564 0.557 0.082 0.042 0.427 7 3 1231527
0.523 0.619 0.619 0.578 0.511 0.05 0.143 0.508 8 2 1231528
0.288 0.352 0.352 0.241 0.194 0.079 0.182 0.069 4 4 1231529
0.303 0.371 0.371 0.213 0.362 0.101 0.327 0.121 5 5 1231530
0.327 0.417 0.41 0.231 0.41 0.086 0.197 0.323 7 6 1231531
0.32 0.413 0.395 0.17 0.395 0.194 0.217 0.122 3 7 1231532
0.301 0.376 0.362 0.297 0.183 0.063 0.349 0.213 5 5 1231533
0.397 0.43 0.346 0.346 0.325 0 0.091 0.325 5 0 1231534
0.375 0.411 0.411 0.411 0.331 0 0.034 0.216 6 0 1231535
0.398 0.423 0.423 0.423 0.364 0 0.014 0.132 6 0 1231536
0.396 0.442 0.441 0.427 0.397 0.017 0.017 0.427 5 1 1231537
0.38 0.409 0.409 0.409 0.204 0 0.219 0.078 5 0 1231538
0.396 0.451 0.441 0.43 0.43 0.014 0.034 0.166 5 1 1231539
0.384 0.45 0.45 0.3 0.345 0.15 0.058 0.326 4 4 1231540
0.4 0.456 0.456 0.344 0.411 0.112 0 0.456 4 4 1231541
0.414 0.47 0.249 0.037 0.226 0.169 0.103 0.21 4 5 1231542
0.385 0.43 0.43 0.214 0.399 0.172 0.133 0.385 3 3 1231543
0.5 0.534 0.523 0.506 0.183 0.032 0.251 0.221 164 206 1231544
0.502 0.534 0.529 0.517 0.045 0.009 0.361 0.104 211 162 1231545
0.503 0.535 0.483 0.457 0.011 0.035 0.256 0.22 257 195 1231546
0.502 0.535 0.52 0.498 0.017 0.048 0.259 0.316 263 185 1231547
0.5 0.535 0.536 0.538 0.055 -0.014 0.479 0.235 166 109 1231548
0.482 0.526 0.471 0.45 0 0.046 0.212 0.279 137 219 1231549
0.481 0.53 0.487 0.394 0 0.079 0.118 0.295 165 251 1231550
0.484 0.528 0.497 0.439 0.015 0.057 0.126 0.388 212 289 1231551
0.479 0.528 0.472 0.406 0 0.069 0.123 0.363 189 349 1231552
0.483 0.528 0.486 0.416 0 0.046 0.327 0.276 172 160 1231553
0.476 0.525 0.461 0.387 0 0.068 0.089 0.403 115 228 1231554
0.481 0.529 0.451 0.397 0 0.036 0.182 0.335 143 249 1231555
0.485 0.53 0.498 0.431 0.022 0.076 0.176 0.387 176 324 1231556
0.478 0.529 0.464 0.392 0.072 0.115 0.097 0.431 140 373 1231557
0.474 0.521 0.506 0.448 0.046 0.051 0.103 0.389 130 183 1231558
0.492 0.59 0.58 0.465 0.199 0.077 0.311 0.341 220 259 1231559
0.489 0.591 0.556 0.466 0.084 0.092 0.296 0.209 295 325 1231560
0.499 0.602 0.569 0.437 0.101 0.104 0.309 0.254 369 319 1231561
0.497 0.598 0.567 0.452 0.104 0.107 0.243 0.329 364 374 1231562
0.504 0.592 0.583 0.481 0.059 0.1 0.317 0.295 227 150 1231563
0.57 0.625 0.618 0.575 0.034 0.072 0.31 0.316 181 255 1231564
0.565 0.623 0.595 0.534 0.096 0.075 0.312 0.321 219 268 1231565
0.57 0.626 0.598 0.537 0.076 0.084 0.153 0.402 247 365 1231566
0.57 0.632 0.594 0.513 0.063 0.093 0.125 0.486 253 443 1231567
0.561 0.621 0.601 0.562 0.037 0.041 0.262 0.351 230 196 1231568
0.566 0.645 0.62 0.448 0.162 0.158 0.13 0.517 127 338 1231569
0.564 0.64 0.593 0.369 0.111 0.168 0.223 0.394 141 337 1231570
0.574 0.651 0.607 0.426 0.095 0.179 0.177 0.494 222 473 1231571
0.566 0.647 0.613 0.357 0.153 0.233 0.055 0.54 146 510 1231572
0.551 0.631 0.604 0.357 0.065 0.17 0.074 0.531 125 352 1231573
0.314 0.394 0.355 0.244 0.043 0.107 0.197 0.16 218 288 1231574
0.314 0.395 0.363 0.232 0.118 0.144 0.215 0.18 292 370 1231575
0.324 0.407 0.372 0.271 0.094 0.104 0.227 0.234 424 407 1231576
0.32 0.399 0.353 0.246 0.083 0.119 0.16 0.227 350 422 1231577
0.332 0.404 0.389 0.318 0.111 0.078 0.25 0.162 273 242 1231578
0.407 0.434 0.415 0.382 0 0.046 0.154 0.242 219 293 1231579
0.403 0.435 0.417 0.361 0.077 0.073 0.124 0.249 206 317 1231580
0.415 0.444 0.423 0.343 0.045 0.1 0.117 0.347 280 427 1231581
0.409 0.442 0.413 0.349 0.098 0.079 0.117 0.355 199 506 1231582
0.398 0.43 0.428 0.389 0.072 0.045 0.223 0.245 174 201 1231583
0.407 0.458 0.448 0.23 0.071 0.16 0.057 0.372 130 391 1231584
0.408 0.463 0.45 0.193 0.152 0.15 0.115 0.37 127 417 1231585
0.42 0.469 0.433 0.206 0.039 0.202 0.118 0.363 194 538 1231586
0.416 0.473 0.455 0.201 0.121 0.212 0.051 0.395 138 638 1231587
0.399 0.443 0.419 0.262 0.09 0.125 0.072 0.355 92 247 1231588
0.493 0.604 0.569 0.47 0.112 0.103 0.285 0.348 162 204 1231589
0.492 0.588 0.535 0.412 0.043 0.124 0.363 0.284 215 217 1231590
0.492 0.6 0.567 0.439 0.06 0.131 0.338 0.281 283 275 1231591
0.489 0.605 0.564 0.455 0.046 0.11 0.238 0.345 288 269 1231592
0.485 0.585 0.572 0.425 0.084 0.134 0.306 0.28 164 218 1231593
0.565 0.627 0.612 0.571 0 0.064 0.307 0.374 151 178 1231594
0.564 0.626 0.564 0.496 0 0.074 0.224 0.357 153 190 1231595
0.575 0.636 0.605 0.505 0.05 0.13 0.169 0.425 199 267 1231596
0.565 0.635 0.595 0.49 0 0.127 0.129 0.464 194 312 1231597
0.553 0.617 0.61 0.571 0 0.054 0.247 0.302 147 137 1231598
0.56 0.643 0.606 0.352 0.046 0.209 0.13 0.472 87 283 1231599
0.558 0.64 0.589 0.373 0.014 0.193 0.185 0.457 123 294 1231600
0.564 0.648 0.606 0.348 0.029 0.242 0.131 0.468 175 352 1231601
0.559 0.649 0.596 0.292 0.039 0.3 0.07 0.542 118 427 1231602
0.536 0.625 0.595 0.42 0.012 0.156 0.137 0.501 98 216 1231603
0.317 0.398 0.371 0.273 0.027 0.092 0.161 0.209 204 269 1231604
0.314 0.394 0.351 0.183 0.043 0.163 0.213 0.153 217 323 1231605
0.322 0.402 0.36 0.213 0.011 0.13 0.176 0.167 346 360 1231606
0.322 0.406 0.364 0.217 0.042 0.145 0.143 0.197 304 393 1231607
0.314 0.382 0.365 0.256 0.085 0.116 0.15 0.18 190 204 1231608
0.41 0.448 0.428 0.4 0 0.047 0.201 0.25 166 211 1231609
0.404 0.44 0.409 0.338 0 0.085 0.238 0.228 160 254 1231610
0.403 0.44 0.41 0.298 0 0.136 0.132 0.319 207 328 1231611
0.402 0.44 0.397 0.315 0 0.104 0.102 0.314 196 371 1231612
0.397 0.432 0.425 0.38 0 0.061 0.217 0.187 155 125 1231613
0.41 0.469 0.437 0.163 0.03 0.28 0.096 0.382 90 386 1231614
0.405 0.46 0.42 0.216 0.091 0.209 0.13 0.326 105 382 1231615
0.415 0.477 0.418 0.195 0.021 0.253 0.092 0.359 169 459 1231616
0.407 0.468 0.421 0.115 0.031 0.284 0.052 0.386 92 565 1231617
0.395 0.447 0.432 0.245 0 0.205 0.146 0.351 105 281 1231618
0.515 0.538 0.537 0.537 0.508 0.002 0.311 0.215 23 9 1231619
0.505 0.53 0.527 0.525 0.218 0.006 0.359 0.293 24 16 1231620
0.512 0.535 0.529 0.523 0.478 0.021 0.161 0.379 35 14 1231621
0.513 0.54 0.532 0.532 0.49 0.002 0.255 0.148 30 10 1231622
0.506 0.532 0.528 0.523 0.282 -0.011 0.406 0.188 20 8 1231623
0.479 0.523 0.521 0.514 0.386 0.012 0.163 0.349 31 15 1231624
0.486 0.526 0.516 0.511 0.256 0.002 0.225 0.288 34 16 1231625
0.488 0.527 0.51 0.501 0.3 0.01 0.073 0.414 38 24 1231626
0.484 0.531 0.525 0.52 0.43 0.009 0.071 0.52 36 22 1231627
0.48 0.519 0.513 0.505 0.238 0.013 0.449 0.166 22 16 1231628
0.479 0.525 0.513 0.503 0.384 0.016 0.221 0.318 19 25 1231629
0.482 0.528 0.509 0.495 0.207 0.014 0.172 0.403 28 23 1231630
0.489 0.527 0.515 0.509 0.438 0.01 0.104 0.428 32 24 1231631
0.484 0.527 0.521 0.512 0.478 0.01 0.096 0.501 31 32 1231632
0.478 0.522 0.518 0.507 0.357 0.021 0.128 0.358 26 24 1231633
0.495 0.593 0.577 0.425 0.292 0.074 0.32 0.271 35 45 1231634
0.499 0.598 0.582 0.48 0.257 0.079 0.424 0.171 46 41 1231635
0.503 0.596 0.571 0.405 0.472 0.131 0.313 0.263 46 45 1231636
0.502 0.602 0.583 0.44 0.504 0.084 0.423 0.354 52 49 1231637
0.508 0.596 0.587 0.415 0.445 0.079 0.361 0.048 32 34 1231638
0.561 0.613 0.607 0.599 0.446 0.012 0.08 0.333 34 16 1231639
0.561 0.615 0.607 0.588 0.386 0.029 0.152 0.371 38 34 1231640
0.579 0.63 0.606 0.591 0.447 0.02 0.191 0.41 43 36 1231641
0.573 0.627 0.533 0.519 0.442 0.015 0.091 0.379 43 35 1231642
0.562 0.626 0.621 0.617 0.297 0.009 0.505 0.413 39 11 1231643
0.566 0.638 0.625 0.517 0.508 0.101 0.187 0.572 26 39 1231644
0.566 0.641 0.623 0.437 0.509 0.146 0.142 0.453 35 40 1231645
0.574 0.648 0.634 0.427 0.479 0.137 0.175 0.31 43 65 1231646
0.565 0.646 0.624 0.385 0.512 0.154 0.081 0.505 32 56 1231647
0.549 0.628 0.621 0.567 0.456 0.053 0.106 0.406 22 27 1231648
0.315 0.397 0.298 0.217 0.136 0.062 0.184 0.234 34 41 1231649
0.325 0.407 0.367 0.244 0.248 0.092 0.149 0.071 40 42 1231650
0.323 0.408 0.379 0.276 0.269 0.094 0.101 0.248 72 61 1231651
0.32 0.404 0.365 0.184 0.236 0.147 0.153 0.177 71 77 1231652
0.328 0.4 0.284 0.147 0.085 0.089 0.248 0.18 44 37 1231653
0.403 0.431 0.425 0.413 0.325 0.014 0.1 0.241 37 39 1231654
0.4 0.438 0.41 0.41 0.26 -0.001 0.143 0.22 46 30 1231655
0.409 0.445 0.439 0.427 0.245 0.018 0.114 0.354 52 37 1231656
0.406 0.442 0.326 0.306 0.243 0.024 0.119 0.302 43 61 1231657
0.405 0.435 0.431 0.419 0.274 0.011 0.202 0.209 37 27 1231658
0.412 0.465 0.444 0.321 0.322 0.097 0.028 0.294 35 50 1231659
0.402 0.453 0.431 0.185 0.345 0.142 0.146 0.315 26 59 1231660
0.417 0.473 0.432 0.192 0.308 0.172 0.166 0.251 47 73 1231661
0.415 0.477 0.457 0.278 0.35 0.18 0.034 0.456 28 83 1231662
0.385 0.444 0.433 0.242 0.297 0.155 0.122 0.298 22 49 1231663
0.497 0.593 0.591 0.472 0.305 0.088 0.296 0.175 22 15 1231664
0.499 0.595 0.515 0.413 0.39 0.07 0.313 0.241 18 14 1231665
0.503 0.604 0.577 0.408 0.517 0.072 0.273 0.262 27 15 1231666
0.501 0.599 0.575 0.524 0.518 0.04 0.282 0.205 29 15 1231667
0.497 0.586 0.579 0.433 0.29 0.096 0.282 0.124 16 13 1231668
0.567 0.624 0.624 0.623 0.498 0.003 0.153 0.411 18 5 1231669
0.566 0.627 0.611 0.61 0.45 0.001 0.311 0.36 20 4 1231670
0.576 0.627 0.619 0.616 0.511 0.005 0.12 0.542 19 5 1231671
0.57 0.626 0.621 0.617 0.588 0.006 0.053 0.545 22 5 1231672
0.547 0.613 0.611 0.594 0.318 0.02 0.327 0.419 24 6 1231673
0.565 0.643 0.63 0.375 0.528 0.204 0.071 0.588 12 10 1231674
0.559 0.635 0.63 0.377 0.246 0.215 0.31 0.492 16 10 1231675
0.569 0.648 0.625 0.411 0.558 0.166 0.132 0.506 20 17 1231676
0.566 0.647 0.637 0.485 0.517 0.142 0.126 0.601 21 17 1231677
0.546 0.63 0.622 0.461 0.348 0.119 0.035 0.346 12 10 1231678
0.322 0.407 0.382 0.233 0.134 0.106 0.183 0.259 15 24 1231679
0.313 0.39 0.327 0.225 0.135 0.083 0.132 0.101 23 28 1231680
0.321 0.399 0.332 0.233 0.245 0.067 0.185 0.243 29 27 1231681
0.321 0.399 0.372 0.209 0.299 0.117 0.11 0.168 26 28 1231682
0.324 0.397 0.379 0.215 0.119 0.098 0.215 0.133 24 22 1231683
0.404 0.443 0.423 0.419 0.317 0.005 0.024 0.244 18 10 1231684
0.404 0.441 0.436 0.432 0.189 0.002 0.244 0.336 23 12 1231685
0.408 0.44 0.43 0.421 0.347 0.012 0.11 0.341 28 12 1231686
0.408 0.443 0.432 0.418 0.373 0.017 0.063 0.431 24 14 1231687
0.396 0.431 0.422 0.416 0.229 0.007 0.162 0.296 15 6 1231688
0.411 0.472 0.421 0.247 0.227 0.142 0.116 0.361 20 18 1231689
0.406 0.464 0.392 0.225 0.345 0.209 0.111 0.377 14 24 1231690
0.418 0.476 0.466 0.29 0.381 0.172 0.095 0.245 15 21 1231691
0.41 0.464 0.454 0.235 0.352 0.178 0.003 0.446 14 31 1231692
0.396 0.456 0.447 0.245 0.233 0.162 0.178 0.437 16 20 1231693
0.51 0.533 0.533 0.533 0.533 0 0.368 0.25 4 0 1231694
0.517 0.533 0.533 0.533 0.416 0 0.533 0.228 6 0 1231695
0.515 0.527 0.527 0.505 0.527 -0.003 0.253 0.22 4 1 1231696
0.511 0.529 0.529 0.529 0.459 0 0.087 0.377 5 0 1231697
0.486 0.509 0.511 0.478 0.448 0.046 0.511 0.063 3 1 1231698
0.478 0.524 0.524 0.524 0.499 0 0.365 0.524 4 0 1231699
0.492 0.533 0.532 0.532 0.434 0 0.209 0.487 7 0 1231700
0.496 0.524 0.524 0.524 0.515 0 0.054 0.32 6 0 1231701
0.489 0.529 0.529 0.529 0.523 0 0.095 0.265 7 0 1231702
0.466 0.506 0.506 0.506 0.45 0 0.486 0 4 0 1231703
0.49 0.525 0.525 0.525 0.504 0 0.239 0.282 6 0 1231704
0.48 0.522 0.138 0.138 0.136 0 0.059 0.138 5 0 1231705
0.482 0.525 0.525 0.476 0.406 0.008 0.233 0.071 3 1 1231706
0.482 0.526 0.525 0.525 0.494 0 0 0.443 5 0 1231707
0.453 0.494 0.494 0.494 0.454 0 0 0.247 4 0 1231708
0.481 0.583 0.525 0.474 0.458 0.024 0.349 0.405 7 2 1231709
0.506 0.601 0.544 0.363 0.479 0.08 0.319 0.093 10 7 1231710
0.506 0.601 0.599 0.498 0.562 0.019 0.233 0.363 11 2 1231711
0.503 0.609 0.609 0.6 0.609 0.008 0.44 0.505 8 1 1231712
0.487 0.584 0.583 0.377 0.198 0.082 0.166 0.104 8 8 1231713
0.554 0.611 0.611 0.602 0.438 0.011 0.365 0.236 6 1 1231714
0.57 0.62 0.62 0.62 0.524 0 0.108 0.27 8 0 1231715
0.569 0.62 0.62 0.62 0.595 0 0.256 0.595 7 0 1231716
0.573 0.631 0.631 0.631 0.614 0 0.319 0.293 8 0 1231717
0.559 0.611 0.611 0.611 0.527 0 0.508 0.234 7 0 1231718
0.553 0.637 0.637 0.626 0.627 0.004 0.158 0.435 6 3 1231719
0.507 0.566 0.566 0.566 0.509 0 0.263 0.466 8 0 1231720
0.57 0.651 0.651 0.553 0.631 0.076 0.15 0.419 8 2 1231721
0.566 0.643 0.641 0.636 0.636 0.005 0.032 0.422 10 2 1231722
0.514 0.606 0.606 0.603 0.569 0.004 0.157 0.418 8 1 1231723
0.284 0.345 0.345 0.241 0.241 0.004 0.059 0.286 3 1 1231724
0.313 0.394 0.376 0.302 0.373 0.05 0.06 0.264 6 4 1231725
0.334 0.406 0.406 0.252 0.403 0.073 0.176 0.162 7 7 1231726
0.325 0.403 0.388 0.185 0.385 0.096 0.123 0.173 9 8 1231727
0.304 0.366 0.364 0.348 0.306 0.015 0.322 0.18 6 1 1231728
0.41 0.444 0.444 0.406 0.402 -0.022 0 0.181 5 1 1231729
0.377 0.411 0.411 0.411 0.38 0 0.411 0.411 3 0 1231730
0.411 0.44 0.44 0.44 0.426 0 0.296 0.406 8 0 1231731
0.4 0.434 0.434 0.434 0.434 0 0.083 0.383 8 0 1231732
0.404 0.455 0.455 0.405 0.24 0.016 0.05 0.208 5 1 1231733
0.399 0.44 0.44 0.44 0.44 0 0.237 0.356 6 0 1231734
0.408 0.475 0.477 0.452 0.452 0.013 0.041 0.156 5 3 1231735
0.417 0.465 0.465 0.464 0.448 0 0 0.319 7 1 1231736
0.428 0.484 0.484 0.484 0.484 0 0 0.422 6 0 1231737
0.382 0.456 0.456 0.456 0.456 0 0.046 0.456 6 0 1231738
0.445 0.551 0.534 0.428 0.524 0.057 0.464 0.164 4 5 1231739
0.457 0.588 0.58 0.53 0.517 0.049 0.148 0.354 6 4 1231740
0.473 0.589 0.589 0.432 0.464 0.138 0.514 0.166 7 7 1231741
0.482 0.603 0.594 0.525 0.593 0.046 0.229 0.509 7 4 1231742
0.472 0.564 0.562 0.53 0.562 0.026 0.194 0.169 6 1 1231743
0.502 0.562 0.543 0.543 0.482 0 0.128 0.239 5 0 1231744
0.539 0.599 0.587 0.587 0.569 0 0.429 0 5 0 1231745
0.564 0.621 0.613 0.589 0.589 0.022 0.291 0.287 6 1 1231746
0.561 0.625 0.625 0.615 0.615 0.01 0.078 0.625 5 1 1231747
0.513 0.582 0.582 0.569 0.474 0.012 0.303 0.414 5 1 1231748
0.521 0.604 0.558 0.558 0.513 0 0.136 0.347 6 0 1231749
0.495 0.596 0.596 0.59 0.165 0.004 0.216 0.073 7 1 1231750
0.553 0.621 0.621 0.584 0.621 0.029 0.138 0.404 5 1 1231751
0.559 0.648 0.64 0.556 0.543 0.013 0 0.64 5 2 1231752
0.506 0.595 0.591 0.33 0.368 0.213 0.112 0.487 5 4 1231753
0.313 0.389 0.337 0.244 0.244 0.059 0.057 0.257 3 6 1231754
0.303 0.385 0.385 0.288 0.271 0.069 0.361 0.053 4 5 1231755
0.322 0.397 0.397 0.241 0.388 0.095 0.269 0.214 5 7 1231756
0.33 0.413 0.409 0.271 0.409 0.088 0.131 0.372 6 4 1231757
0.297 0.382 0.382 0.367 0.289 0.016 0.062 0.151 4 1 1231758
0.403 0.436 0.436 0.39 0.316 -0.06 0.371 0.406 6 1 1231759
0.403 0.435 0.435 0.435 0.435 0 0.088 0.33 6 0 1231760
0.377 0.412 0.412 0.412 0.409 0 0.139 0.412 6 0 1231761
0.382 0.425 0.424 0.406 0.395 0.022 0 0.414 5 1 1231762
0.369 0.427 0.425 0.425 0.27 0 0.299 0.218 5 0 1231763
0.397 0.449 0.449 0.3 0.392 0.088 0.112 0.366 4 2 1231764
