"LAcalc_SLiM" "LAcalc_1000ind_allmuts" "LAcalc_1000ind_NoMAFmuts" "LAcalc_1000ind_ClinalMuts" "LAcalc_1000ind_ClinalMutsLFMM" "LAcalc_1000ind_NonClinalMuts" "LAcalc_1000ind_RandomMuts_nClinal" "LAcalc_1000ind_RandomMuts_nNonClinal" "LAcalc_1000ind_nClinal" "LAcalc_1000ind_nNonClinal" "seed"
0.516 0.537 0.536 0.535 0.487 0.001 0.448 0.288 25 13 1231169
0.51 0.534 0.531 0.528 0.292 0.01 0.371 0.257 25 16 1231170
0.515 0.535 0.531 0.525 0.459 0.018 0.215 0.35 37 14 1231171
0.508 0.53 0.525 0.524 0.496 0.004 0.291 0.101 27 16 1231172
0.503 0.533 0.527 0.528 0.212 -0.008 0.018 0.097 24 12 1231173
0.483 0.527 0.485 0.484 0.305 -0.004 0.169 0.262 34 16 1231174
0.484 0.527 0.518 0.51 0.144 0.01 0.214 0.299 39 16 1231175
0.49 0.528 0.521 0.517 0.396 0.005 0.172 0.362 29 21 1231176
0.481 0.528 0.515 0.502 0.425 0.012 0.149 0.446 34 26 1231177
0.477 0.516 0.515 0.515 0.446 -0.003 0.454 0.146 17 9 1231178
0.477 0.518 0.513 0.506 0.428 0.008 0.119 0.362 19 12 1231179
0.479 0.523 0.472 0.468 0.224 0.006 0.246 0.369 39 17 1231180
0.488 0.526 0.52 0.516 0.419 0.005 0.126 0.422 32 25 1231181
0.483 0.527 0.506 0.511 0.407 0.013 0.022 0.515 29 27 1231182
0.463 0.515 0.503 0.507 0.32 -0.005 0.294 0.112 27 18 1231183
0.498 0.595 0.577 0.396 0.351 0.084 0.194 0.265 40 42 1231184
0.498 0.594 0.545 0.426 0.264 0.076 0.384 0.26 43 39 1231185
0.506 0.608 0.579 0.465 0.496 0.084 0.428 0.303 62 47 1231186
0.503 0.609 0.581 0.441 0.507 0.102 0.258 0.333 43 65 1231187
0.519 0.611 0.535 0.484 0.198 0.059 0.274 0.367 38 31 1231188
0.58 0.634 0.626 0.619 0.509 0.014 0.277 0.43 38 24 1231189
0.568 0.631 0.617 0.618 0.316 0.004 0.295 0.385 40 23 1231190
0.576 0.632 0.619 0.615 0.408 0.008 0.119 0.387 56 28 1231191
0.57 0.631 0.597 0.582 0.48 0.021 0.084 0.502 44 45 1231192
0.567 0.623 0.615 0.61 0.527 0.008 0.384 0.396 28 10 1231193
0.555 0.641 0.623 0.428 0.451 0.13 0.105 0.444 28 40 1231194
0.563 0.645 0.589 0.406 0.434 0.104 0.223 0.409 28 39 1231195
0.57 0.646 0.627 0.402 0.512 0.147 0.15 0.481 41 50 1231196
0.569 0.648 0.632 0.424 0.521 0.15 0.066 0.561 36 50 1231197
0.549 0.63 0.621 0.433 0.384 0.153 0.242 0.501 30 39 1231198
0.316 0.393 0.369 0.206 0.101 0.107 0.074 0.121 35 49 1231199
0.328 0.404 0.31 0.156 0.098 0.073 0.137 0.09 43 64 1231200
0.326 0.407 0.388 0.251 0.294 0.098 0.127 0.19 61 44 1231201
0.32 0.398 0.383 0.227 0.268 0.127 0.15 0.209 63 67 1231202
0.334 0.41 0.395 0.289 0.158 0.072 0.305 0.158 33 30 1231203
0.404 0.435 0.425 0.41 0.295 0.025 0.187 0.367 34 30 1231204
0.401 0.432 0.42 0.393 0.302 0.037 0.116 0.274 51 42 1231205
0.408 0.444 0.432 0.396 0.313 0.051 0.107 0.276 48 49 1231206
0.408 0.438 0.412 0.397 0.332 0.018 0.24 0.342 51 57 1231207
0.396 0.433 0.427 0.42 0.285 0.007 0.089 0.387 34 24 1231208
0.414 0.468 0.457 0.389 0.311 0.076 0.02 0.399 35 46 1231209
0.409 0.464 0.448 0.28 0.336 0.122 0.125 0.405 25 62 1231210
0.417 0.469 0.449 0.21 0.281 0.205 0.131 0.376 38 79 1231211
0.415 0.473 0.408 0.336 0.291 0.06 0.126 0.378 27 90 1231212
0.404 0.456 0.448 0.157 0.34 0.149 0.078 0.276 17 35 1231213
0.501 0.599 0.585 0.448 0.283 0.113 0.311 0.2 19 15 1231214
0.5 0.59 0.554 0.472 0.32 0.059 0.328 0.256 19 13 1231215
0.503 0.602 0.576 0.417 0.53 0.129 0.3 0.185 24 21 1231216
0.5 0.605 0.587 0.517 0.554 0.057 0.427 0.408 25 14 1231217
0.509 0.593 0.587 0.415 0.234 0.12 0.446 0.18 18 14 1231218
0.565 0.622 0.588 0.589 0.466 -0.001 0.201 0.462 19 2 1231219
0.564 0.616 0.611 0.608 0.41 0.005 0.298 0.51 23 5 1231220
0.571 0.627 0.616 0.611 0.492 0.006 0.205 0.4 24 8 1231221
0.569 0.625 0.622 0.607 0.515 0.022 0.13 0.531 25 11 1231222
0.558 0.618 0.612 0.61 0.37 0.003 0.509 0.177 20 2 1231223
0.559 0.643 0.631 0.43 0.508 0.13 0.126 0.486 17 9 1231224
0.555 0.636 0.622 0.406 0.496 0.187 0.096 0.386 19 12 1231225
0.571 0.648 0.637 0.541 0.581 0.089 0.204 0.619 19 11 1231226
0.567 0.648 0.643 0.375 0.559 0.184 0.04 0.596 19 17 1231227
0.539 0.626 0.614 0.411 0.304 0.166 0.024 0.492 15 12 1231228
0.316 0.395 0.366 0.214 0.131 0.107 0.079 0.259 13 27 1231229
0.32 0.407 0.334 0.226 0.164 0.079 0.195 0.111 27 20 1231230
0.32 0.408 0.377 0.215 0.287 0.129 0.141 0.243 28 20 1231231
0.316 0.397 0.371 0.227 0.313 0.104 0.181 0.203 26 21 1231232
0.321 0.387 0.371 0.194 0.075 0.114 0.173 0.136 18 23 1231233
0.399 0.436 0.425 0.423 0.263 0.002 0.082 0.227 19 7 1231234
0.393 0.431 0.328 0.313 0.206 0.017 0.098 0.153 22 15 1231235
0.403 0.438 0.423 0.418 0.253 0.006 0.198 0.314 23 13 1231236
0.403 0.44 0.431 0.408 0.364 0.032 0.037 0.41 18 19 1231237
0.402 0.438 0.437 0.436 0.165 -0.003 0.276 0.244 20 9 1231238
0.416 0.471 0.45 0.238 0.319 0.189 0.141 0.386 13 25 1231239
0.403 0.458 0.444 0.193 0.359 0.211 0.145 0.289 13 28 1231240
0.408 0.471 0.447 0.245 0.345 0.175 0.086 0.364 16 35 1231241
0.409 0.47 0.429 0.198 0.366 0.188 0.009 0.401 15 32 1231242
0.386 0.445 0.43 0.244 0.33 0.173 0.083 0.368 15 27 1231243
0.51 0.526 0.526 0.526 0.523 0.001 0.283 0.526 5 1 1231244
0.507 0.524 0.524 0.524 0.447 0 0.244 0.156 5 0 1231245
0.518 0.535 0.535 0.535 0.53 0 0.413 0.076 6 0 1231246
0.508 0.531 0.531 0.531 0.449 0.001 0.257 0.198 7 1 1231247
0.5 0.514 0.514 0.512 0.474 -0.014 0.119 0.044 5 1 1231248
0.474 0.527 0.527 0.526 0.473 0.001 0 0.326 5 1 1231249
0.476 0.502 0.503 0.503 0.503 0 0.375 0.285 4 0 1231250
0.499 0.531 0.531 0.531 0.531 0 0.223 0.223 5 0 1231251
0.483 0.524 0.524 0.524 0.5 0 0 0.524 5 1 1231252
0.459 0.51 0.51 0.51 0.476 0 0.51 0.507 4 0 1231253
0.465 0.499 0.484 0.484 0.484 0 0 0.054 3 0 1231254
0.481 0.511 0.511 0.511 0.482 0 0.455 0.229 7 0 1231255
0.5 0.528 0.528 0.528 0.528 0 0.041 0.528 8 0 1231256
0.486 0.531 0.531 0.531 0.531 0 0.072 0.531 5 0 1231257
0.47 0.511 0.511 0.511 0.501 0 0.181 0.433 6 0 1231258
0.472 0.573 0.573 0.488 0.498 0.063 0.229 0.104 8 3 1231259
0.474 0.554 0.554 0.453 0.455 0.051 0.352 0.254 9 4 1231260
0.505 0.59 0.588 0.515 0.584 0.047 0.423 0.531 12 3 1231261
0.486 0.593 0.485 0.348 0.473 0.076 0.151 0.164 9 5 1231262
0.478 0.568 0.568 0.518 0.361 0.039 0.522 0.004 7 2 1231263
0.565 0.627 0.627 0.627 0.623 0 0.053 0.553 7 0 1231264
0.558 0.609 0.609 0.609 0.604 0 0.387 0.347 8 0 1231265
0.563 0.613 0.612 0.612 0.598 0 0.333 0.612 10 0 1231266
0.572 0.631 0.631 0.609 0.609 0.017 0.275 0.631 7 2 1231267
0.54 0.607 0.605 0.605 0.486 0 0.422 0 6 0 1231268
0.55 0.628 0.628 0.629 0.586 -0.001 0 0.438 7 1 1231269
0.523 0.608 0.608 0.507 0.507 -0.004 0.092 0.351 5 1 1231270
0.577 0.647 0.647 0.593 0.589 0.019 0.02 0.472 7 2 1231271
0.569 0.64 0.639 0.638 0.619 0 0.324 0.331 9 1 1231272
0.551 0.623 0.515 0.347 0.421 0.107 0.14 0.238 7 4 1231273
0.3 0.357 0.342 0.21 0.196 0.057 0.095 0.181 8 4 1231274
0.293 0.359 0.266 0.266 0.266 0 0 0.029 3 0 1231275
0.328 0.404 0.384 0.21 0.384 0.127 0.214 0.143 7 7 1231276
0.329 0.402 0.398 0.267 0.393 0.056 0.111 0.13 5 7 1231277
0.269 0.355 0.33 0.245 0.242 0.077 0.242 0.241 4 4 1231278
0.401 0.439 0.439 0.439 0.436 0 0.208 0.217 7 0 1231279
0.398 0.429 0.429 0.425 0.37 0.004 0.015 0.184 5 2 1231280
0.391 0.422 0.315 0.307 0.389 0.007 0.232 0.167 7 2 1231281
0.385 0.424 0.424 0.424 0.424 0 0.037 0.229 8 0 1231282
0.402 0.434 0.434 0.434 0.228 0 0.228 0.201 8 0 1231283
0.389 0.43 0.43 0.353 0.429 0.073 0.21 0.136 5 1 1231284
