seed subpopID N opt0 opt1 x y
1231238 1 200 -1 -1 1 1
1231238 2 95 -0.777778 -1 2 1
1231238 3 200 -0.555556 -1 3 1
1231238 4 200 -0.333333 -1 4 1
1231238 5 145 -0.111111 -1 5 1
1231238 6 145 0.111111 -1 6 1
1231238 7 10 0.333333 -1 7 1
1231238 8 200 0.555556 -1 8 1
1231238 9 10 0.777778 -1 9 1
1231238 10 145 1 -1 10 1
1231238 11 50 -1 -0.777778 1 2
1231238 12 50 -0.777778 -0.777778 2 2
1231238 13 200 -0.555556 -0.777778 3 2
1231238 14 200 -0.333333 -0.777778 4 2
1231238 15 95 -0.111111 -0.777778 5 2
1231238 16 200 0.111111 -0.777778 6 2
1231238 17 145 0.333333 -0.777778 7 2
1231238 18 200 0.555556 -0.777778 8 2
1231238 19 145 0.777778 -0.777778 9 2
1231238 20 95 1 -0.777778 10 2
1231238 21 10 -1 -0.555556 1 3
1231238 22 200 -0.777778 -0.555556 2 3
1231238 23 95 -0.555556 -0.555556 3 3
1231238 24 145 -0.333333 -0.555556 4 3
1231238 25 200 -0.111111 -0.555556 5 3
1231238 26 10 0.111111 -0.555556 6 3
1231238 27 10 0.333333 -0.555556 7 3
1231238 28 50 0.555556 -0.555556 8 3
1231238 29 200 0.777778 -0.555556 9 3
1231238 30 200 1 -0.555556 10 3
1231238 31 50 -1 -0.333333 1 4
1231238 32 10 -0.777778 -0.333333 2 4
1231238 33 145 -0.555556 -0.333333 3 4
1231238 34 95 -0.333333 -0.333333 4 4
1231238 35 95 -0.111111 -0.333333 5 4
1231238 36 95 0.111111 -0.333333 6 4
1231238 37 50 0.333333 -0.333333 7 4
1231238 38 200 0.555556 -0.333333 8 4
1231238 39 10 0.777778 -0.333333 9 4
1231238 40 50 1 -0.333333 10 4
1231238 41 200 -1 -0.111111 1 5
1231238 42 50 -0.777778 -0.111111 2 5
1231238 43 95 -0.555556 -0.111111 3 5
1231238 44 10 -0.333333 -0.111111 4 5
1231238 45 10 -0.111111 -0.111111 5 5
1231238 46 10 0.111111 -0.111111 6 5
1231238 47 145 0.333333 -0.111111 7 5
1231238 48 200 0.555556 -0.111111 8 5
1231238 49 50 0.777778 -0.111111 9 5
1231238 50 95 1 -0.111111 10 5
1231238 51 200 -1 0.111111 1 6
1231238 52 95 -0.777778 0.111111 2 6
1231238 53 50 -0.555556 0.111111 3 6
1231238 54 95 -0.333333 0.111111 4 6
1231238 55 50 -0.111111 0.111111 5 6
1231238 56 145 0.111111 0.111111 6 6
1231238 57 145 0.333333 0.111111 7 6
1231238 58 145 0.555556 0.111111 8 6
1231238 59 145 0.777778 0.111111 9 6
1231238 60 10 1 0.111111 10 6
1231238 61 200 -1 0.333333 1 7
1231238 62 50 -0.777778 0.333333 2 7
1231238 63 50 -0.555556 0.333333 3 7
1231238 64 95 -0.333333 0.333333 4 7
1231238 65 95 -0.111111 0.333333 5 7
1231238 66 10 0.111111 0.333333 6 7
1231238 67 95 0.333333 0.333333 7 7
1231238 68 10 0.555556 0.333333 8 7
1231238 69 200 0.777778 0.333333 9 7
1231238 70 145 1 0.333333 10 7
1231238 71 200 -1 0.555556 1 8
1231238 72 95 -0.777778 0.555556 2 8
1231238 73 10 -0.555556 0.555556 3 8
1231238 74 145 -0.333333 0.555556 4 8
1231238 75 95 -0.111111 0.555556 5 8
1231238 76 200 0.111111 0.555556 6 8
1231238 77 95 0.333333 0.555556 7 8
1231238 78 95 0.555556 0.555556 8 8
1231238 79 10 0.777778 0.555556 9 8
1231238 80 50 1 0.555556 10 8
1231238 81 95 -1 0.777778 1 9
1231238 82 95 -0.777778 0.777778 2 9
1231238 83 145 -0.555556 0.777778 3 9
1231238 84 10 -0.333333 0.777778 4 9
1231238 85 200 -0.111111 0.777778 5 9
1231238 86 50 0.111111 0.777778 6 9
1231238 87 200 0.333333 0.777778 7 9
1231238 88 200 0.555556 0.777778 8 9
1231238 89 145 0.777778 0.777778 9 9
1231238 90 145 1 0.777778 10 9
1231238 91 95 -1 1 1 10
1231238 92 50 -0.777778 1 2 10
1231238 93 95 -0.555556 1 3 10
1231238 94 50 -0.333333 1 4 10
1231238 95 50 -0.111111 1 5 10
1231238 96 50 0.111111 1 6 10
1231238 97 10 0.333333 1 7 10
1231238 98 50 0.555556 1 8 10
1231238 99 95 0.777778 1 9 10
1231238 100 10 1 1 10 10
