to from m
1 2 0.49
2 1 0.49
2 3 0.49
3 2 0.49
3 4 0.49
4 3 0.49
4 5 0.49
5 4 0.49
5 6 0.49
6 5 0.49
6 7 0.49
7 6 0.49
7 8 0.49
8 7 0.49
8 9 0.49
9 8 0.49
9 10 0.49
10 9 0.49
10 20 0.01
11 12 0.49
12 11 0.49
12 13 0.49
13 12 0.49
13 14 0.49
14 13 0.49
14 15 0.49
15 14 0.49
15 16 0.49
16 15 0.49
16 17 0.49
17 16 0.49
17 18 0.49
18 17 0.49
18 19 0.49
19 18 0.49
19 20 0.49
20 10 0.01
20 19 0.49
20 30 0.01
21 22 0.49
22 21 0.49
22 23 0.49
23 22 0.49
23 24 0.49
24 23 0.49
24 25 0.49
25 24 0.49
25 26 0.49
26 25 0.49
26 27 0.49
27 26 0.49
27 28 0.49
28 27 0.49
28 29 0.49
29 28 0.49
29 30 0.49
30 20 0.01
30 29 0.49
30 40 0.0001
31 32 0.49
32 31 0.49
32 33 0.49
33 32 0.49
33 34 0.49
34 33 0.49
34 35 0.49
35 34 0.49
35 36 0.49
36 35 0.49
36 37 0.49
37 36 0.49
37 38 0.49
38 37 0.49
38 39 0.49
39 38 0.49
39 40 0.49
40 30 0.0001
40 39 0.49
40 50 0.0001
41 42 0.49
42 41 0.49
42 43 0.49
43 42 0.49
43 44 0.49
44 43 0.49
44 45 0.49
45 44 0.49
45 46 0.49
46 45 0.49
46 47 0.49
47 46 0.49
47 48 0.49
48 47 0.49
48 49 0.49
49 48 0.49
49 50 0.49
50 40 0.0001
50 49 0.49
50 60 0.01
51 52 0.49
52 51 0.49
52 53 0.49
53 52 0.49
53 54 0.49
54 53 0.49
54 55 0.49
55 54 0.49
55 56 0.49
56 55 0.49
56 57 0.49
57 56 0.49
57 58 0.49
58 57 0.49
58 59 0.49
59 58 0.49
59 60 0.49
60 50 0.01
60 59 0.49
60 70 0.0001
61 62 0.49
62 61 0.49
62 63 0.49
63 62 0.49
63 64 0.49
64 63 0.49
64 65 0.49
65 64 0.49
65 66 0.49
66 65 0.49
66 67 0.49
67 66 0.49
67 68 0.49
68 67 0.49
68 69 0.49
69 68 0.49
69 70 0.49
70 60 0.0001
70 69 0.49
70 80 0.0001
71 72 0.49
72 71 0.49
72 73 0.49
73 72 0.49
73 74 0.49
74 73 0.49
74 75 0.49
75 74 0.49
75 76 0.49
76 75 0.49
76 77 0.49
77 76 0.49
77 78 0.49
78 77 0.49
78 79 0.49
79 78 0.49
79 80 0.49
80 70 0.0001
80 79 0.49
80 90 0.01
81 82 0.49
82 81 0.49
82 83 0.49
83 82 0.49
83 84 0.49
84 83 0.49
84 85 0.49
85 84 0.49
85 86 0.49
86 85 0.49
86 87 0.49
87 86 0.49
87 88 0.49
88 87 0.49
88 89 0.49
89 88 0.49
89 90 0.49
90 80 0.01
90 89 0.49
90 100 0.01
91 92 0.49
92 91 0.49
92 93 0.49
93 92 0.49
93 94 0.49
94 93 0.49
94 95 0.49
95 94 0.49
95 96 0.49
96 95 0.49
96 97 0.49
97 96 0.49
97 98 0.49
98 97 0.49
98 99 0.49
99 98 0.49
99 100 0.49
100 90 0.01
100 99 0.49
