seed indID indSubpopIndex subpop phen_sal phen_temp sal_opt temp_opt fitness
1231197 0 0 1 -0.768491 -0.946317 -1 -1 0.945087
1231197 1 1 1 -0.857435 -0.992184 -1 -1 0.979821
1231197 2 2 1 -0.869761 -0.575104 -1 -1 0.820781
1231197 3 3 1 -1.01404 -0.943523 -1 -1 0.996619
1231197 4 4 1 -0.864835 -0.670518 -1 -1 0.880885
1231197 5 5 1 -0.950726 -0.7683 -1 -1 0.945433
1231197 6 6 1 -1.12339 -0.728233 -1 -1 0.91477
1231197 7 7 1 -0.996742 -1.08088 -1 -1 0.993469
1231197 8 8 1 -0.803645 -0.515629 -1 -1 0.760963
1231197 9 9 1 -1.27561 -1.11634 -1 -1 0.914391
1231197 10 10 1 -0.88625 -1.09772 -1 -1 0.977763
1231197 11 11 1 -0.945174 -1.06543 -1 -1 0.99274
1231197 12 12 1 -1.04715 -0.945235 -1 -1 0.994791
1231197 13 13 1 -0.989118 -0.845259 -1 -1 0.976224
1231197 14 14 1 -1.0633 -0.695591 -1 -1 0.907855
1231197 15 15 1 -1.07463 -1.15979 -1 -1 0.969378
1231197 16 16 1 -1.32773 -0.660024 -1 -1 0.800123
1231197 17 17 1 -0.908056 -0.680546 -1 -1 0.895382
1231197 18 18 1 -0.564459 -1.24795 -1 -1 0.777887
1231197 19 19 1 -0.839705 -1.34118 -1 -1 0.867534
1231197 20 20 1 -0.925262 -0.786979 -1 -1 0.950313
1231197 21 21 1 -1.01953 -0.903816 -1 -1 0.990413
1231197 22 22 1 -0.993902 -0.955186 -1 -1 0.997957
1231197 23 23 1 -0.569332 -0.734867 -1 -1 0.77432
1231197 24 24 1 -1.02755 -0.422033 -1 -1 0.715477
1231197 25 25 1 -1.14005 -1.15113 -1 -1 0.958437
1231197 26 26 1 -0.909836 -1.06215 -1 -1 0.988079
1231197 27 27 1 -1.00431 -0.957607 -1 -1 0.998186
1231197 28 28 1 -1.04355 -0.539393 -1 -1 0.807304
1231197 29 29 1 -1.05651 -0.95468 -1 -1 0.994767
1231197 30 30 1 -0.669689 -0.897 -1 -1 0.887174
1231197 31 31 1 -0.948822 -0.917518 -1 -1 0.990622
1231197 32 32 1 -1.02008 -0.805073 -1 -1 0.962328
1231197 33 33 1 -1.23473 -1.14439 -1 -1 0.926865
1231197 34 34 1 -1.41361 -1.2515 -1 -1 0.791105
1231197 35 35 1 -1.06178 -1.32267 -1 -1 0.897689
1231197 36 36 1 -0.983453 -0.885319 -1 -1 0.986664
1231197 37 37 1 -0.66176 -0.819794 -1 -1 0.863397
1231197 38 38 1 -0.905282 -0.951038 -1 -1 0.988696
1231197 39 39 1 -0.927874 -0.932326 -1 -1 0.990266
1231197 40 40 1 -1.19048 -1.04096 -1 -1 0.962752
1231197 41 41 1 -1.00615 -0.545522 -1 -1 0.813355
1231197 42 42 1 -0.842892 -0.953482 -1 -1 0.97351
1231197 43 43 1 -0.689332 -0.894051 -1 -1 0.897861
1231197 44 44 1 -1.39212 -0.893838 -1 -1 0.847868
1231197 45 45 1 -0.94302 -0.992102 -1 -1 0.996696
1231197 46 46 1 -0.988995 -1.02898 -1 -1 0.99904
1231197 47 47 1 -0.83176 -1.39404 -1 -1 0.832294
1231197 48 48 1 -0.915879 -1.40404 -1 -1 0.843394
1231197 49 49 1 -0.861049 -0.839905 -1 -1 0.956057
1231197 50 50 1 -1.04968 -0.920174 -1 -1 0.991199
1231197 51 51 1 -0.842047 -0.946902 -1 -1 0.972613
1231197 52 52 1 -0.866914 -0.92004 -1 -1 0.976183
1231197 53 53 1 -1.27639 -0.918971 -1 -1 0.920392
1231197 54 54 1 -0.844545 -1.0491 -1 -1 0.973773
1231197 55 55 1 -0.960685 -1.04124 -1 -1 0.996759
1231197 56 56 1 -0.640571 -1.11066 -1 -1 0.868112
1231197 57 57 1 -1.29302 -0.830349 -1 -1 0.891687
1231197 58 58 1 -1.32151 -1.10709 -1 -1 0.891513
1231197 59 59 1 -0.813196 -0.923675 -1 -1 0.960097
1231197 60 60 1 -1.09325 -0.671658 -1 -1 0.890026
1231197 61 61 1 -1.05481 -0.827183 -1 -1 0.967665
1231197 62 62 1 -0.738997 -1.00856 -1 -1 0.934077
1231197 63 63 1 -0.605336 -1.19669 -1 -1 0.823289
1231197 64 64 1 -0.819874 -0.886201 -1 -1 0.955619
1231197 65 65 1 -1.03503 -1.10013 -1 -1 0.988809
1231197 66 66 1 -1.00065 -0.751354 -1 -1 0.940047
1231197 67 67 1 -0.634474 -1.05396 -1 -1 0.872388
1231197 68 68 1 -0.766736 -0.82578 -1 -1 0.918728
1231197 69 69 1 -0.899662 -0.84738 -1 -1 0.96719
1231197 70 70 1 -0.885563 -0.777636 -1 -1 0.939374
1231197 71 71 1 -0.987035 -0.95638 -1 -1 0.997931
1231197 72 72 1 -1.16238 -1.03206 -1 -1 0.972977
1231197 73 73 1 -0.62706 -1.01096 -1 -1 0.87005
1231197 74 74 1 -1.11349 -1.11652 -1 -1 0.97389
1231197 75 75 1 -1.03275 -1.12921 -1 -1 0.982388
1231197 76 76 1 -0.921418 -1.1713 -1 -1 0.965103
1231197 77 77 1 -0.967092 -0.563483 -1 -1 0.825612
1231197 78 78 1 -0.995176 -0.920975 -1 -1 0.993751
1231197 79 79 1 -1.02846 -1.04275 -1 -1 0.997366
1231197 80 80 1 -0.792947 -0.985457 -1 -1 0.957832
1231197 81 81 1 -0.413186 -0.803465 -1 -1 0.681829
1231197 82 82 1 -1.13519 -1.24665 -1 -1 0.923935
1231197 83 83 1 -1.10528 -1.16366 -1 -1 0.962841
1231197 84 84 1 -1.04398 -1.00368 -1 -1 0.998054
1231197 85 85 1 -0.952637 -0.987542 -1 -1 0.997604
1231197 86 86 1 -0.236636 -1.01591 -1 -1 0.558233
1231197 87 87 1 -0.812999 -0.88201 -1 -1 0.952285
1231197 88 88 1 -1.2833 -0.812357 -1 -1 0.890949
1231197 89 89 1 -1.0226 -1.00831 -1 -1 0.99942
1231197 90 90 1 -1.26859 -1.25536 -1 -1 0.871664
1231197 91 91 1 -0.777843 -1.16387 -1 -1 0.926623
1231197 92 92 1 -0.974405 -1.05132 -1 -1 0.996717
1231197 93 93 1 -1.12347 -1.17647 -1 -1 0.954672
1231197 94 94 1 -1.12307 -1.11894 -1 -1 0.971132
1231197 95 95 1 -1.19116 -0.966707 -1 -1 0.963051
1231197 96 96 1 -0.837988 -0.752712 -1 -1 0.916311
1231197 97 97 1 -0.965855 -1.03578 -1 -1 0.997557
1231197 98 98 1 -1.15572 -0.991814 -1 -1 0.975978
1231197 99 99 1 -1.01759 -1.07094 -1 -1 0.994672
1231197 100 0 2 -0.695233 -0.793523 -0.5 -1 0.922425
1231197 101 1 2 -0.108044 -0.985488 -0.5 -1 0.857409
1231197 102 2 2 -0.725384 -0.984461 -0.5 -1 0.950241
1231197 103 3 2 -0.189171 -0.928795 -0.5 -1 0.903314
1231197 104 4 2 -0.273887 -0.760421 -0.5 -1 0.897156
1231197 105 5 2 -0.810421 -1.41286 -0.5 -1 0.765812
1231197 106 6 2 -0.632135 -0.947039 -0.5 -1 0.979939
1231197 107 7 2 -0.499104 -1.36045 -0.5 -1 0.878159
1231197 108 8 2 -0.632291 -0.973079 -0.5 -1 0.98194
1231197 109 9 2 -0.469141 -0.808379 -0.5 -1 0.96303
1231197 110 10 2 -0.57192 -1.00317 -0.5 -1 0.994831
1231197 111 11 2 -0.845125 -1.08436 -0.5 -1 0.881415
1231197 112 12 2 -0.661821 -1.00328 -0.5 -1 0.974143
1231197 113 13 2 -0.331552 -1.23178 -0.5 -1 0.921184
1231197 114 14 2 -0.339226 -1.19607 -0.5 -1 0.937731
1231197 115 15 2 -0.680073 -0.841084 -0.5 -1 0.943952
1231197 116 16 2 -1.37625 -0.872269 -0.5 -1 0.456517
1231197 117 17 2 -0.885473 -1.04551 -0.5 -1 0.86014
1231197 118 18 2 -0.577398 -0.896034 -0.5 -1 0.983341
1231197 119 19 2 -0.17545 -1.15407 -0.5 -1 0.878911
1231197 120 20 2 -0.436824 -0.584595 -0.5 -1 0.838155
1231197 121 21 2 -0.0427112 -1.01118 -0.5 -1 0.811202
1231197 122 22 2 -0.657475 -1.01005 -0.5 -1 0.975408
1231197 123 23 2 -0.643308 -1.20215 -0.5 -1 0.940445
1231197 124 24 2 -0.417113 -1.12538 -0.5 -1 0.977664
