seed subpopID N opt0 opt1 x y
1231219 1 10 -1 -1 1 1
1231219 2 17 -0.777778 -1 2 1
1231219 3 27 -0.555556 -1 3 1
1231219 4 38 -0.333333 -1 4 1
1231219 5 46 -0.111111 -1 5 1
1231219 6 46 0.111111 -1 6 1
1231219 7 38 0.333333 -1 7 1
1231219 8 27 0.555556 -1 8 1
1231219 9 17 0.777778 -1 9 1
1231219 10 10 1 -1 10 1
1231219 11 17 -1 -0.777778 1 2
1231219 12 32 -0.777778 -0.777778 2 2
1231219 13 55 -0.555556 -0.777778 3 2
1231219 14 79 -0.333333 -0.777778 4 2
1231219 15 96 -0.111111 -0.777778 5 2
1231219 16 96 0.111111 -0.777778 6 2
1231219 17 79 0.333333 -0.777778 7 2
1231219 18 55 0.555556 -0.777778 8 2
1231219 19 32 0.777778 -0.777778 9 2
1231219 20 17 1 -0.777778 10 2
1231219 21 27 -1 -0.555556 1 3
1231219 22 55 -0.777778 -0.555556 2 3
1231219 23 96 -0.555556 -0.555556 3 3
1231219 24 141 -0.333333 -0.555556 4 3
1231219 25 172 -0.111111 -0.555556 5 3
1231219 26 172 0.111111 -0.555556 6 3
1231219 27 141 0.333333 -0.555556 7 3
1231219 28 96 0.555556 -0.555556 8 3
1231219 29 55 0.777778 -0.555556 9 3
1231219 30 27 1 -0.555556 10 3
1231219 31 38 -1 -0.333333 1 4
1231219 32 79 -0.777778 -0.333333 2 4
1231219 33 141 -0.555556 -0.333333 3 4
1231219 34 209 -0.333333 -0.333333 4 4
1231219 35 255 -0.111111 -0.333333 5 4
1231219 36 255 0.111111 -0.333333 6 4
1231219 37 209 0.333333 -0.333333 7 4
1231219 38 141 0.555556 -0.333333 8 4
1231219 39 79 0.777778 -0.333333 9 4
1231219 40 38 1 -0.333333 10 4
1231219 41 46 -1 -0.111111 1 5
1231219 42 96 -0.777778 -0.111111 2 5
1231219 43 172 -0.555556 -0.111111 3 5
1231219 44 255 -0.333333 -0.111111 4 5
1231219 45 311 -0.111111 -0.111111 5 5
1231219 46 311 0.111111 -0.111111 6 5
1231219 47 255 0.333333 -0.111111 7 5
1231219 48 172 0.555556 -0.111111 8 5
1231219 49 96 0.777778 -0.111111 9 5
1231219 50 46 1 -0.111111 10 5
1231219 51 46 -1 0.111111 1 6
1231219 52 96 -0.777778 0.111111 2 6
1231219 53 172 -0.555556 0.111111 3 6
1231219 54 255 -0.333333 0.111111 4 6
1231219 55 311 -0.111111 0.111111 5 6
1231219 56 311 0.111111 0.111111 6 6
1231219 57 255 0.333333 0.111111 7 6
1231219 58 172 0.555556 0.111111 8 6
1231219 59 96 0.777778 0.111111 9 6
1231219 60 46 1 0.111111 10 6
1231219 61 38 -1 0.333333 1 7
1231219 62 79 -0.777778 0.333333 2 7
1231219 63 141 -0.555556 0.333333 3 7
1231219 64 209 -0.333333 0.333333 4 7
1231219 65 255 -0.111111 0.333333 5 7
1231219 66 255 0.111111 0.333333 6 7
1231219 67 209 0.333333 0.333333 7 7
1231219 68 141 0.555556 0.333333 8 7
1231219 69 79 0.777778 0.333333 9 7
1231219 70 38 1 0.333333 10 7
1231219 71 27 -1 0.555556 1 8
1231219 72 55 -0.777778 0.555556 2 8
1231219 73 96 -0.555556 0.555556 3 8
1231219 74 141 -0.333333 0.555556 4 8
1231219 75 172 -0.111111 0.555556 5 8
1231219 76 172 0.111111 0.555556 6 8
1231219 77 141 0.333333 0.555556 7 8
1231219 78 96 0.555556 0.555556 8 8
1231219 79 55 0.777778 0.555556 9 8
1231219 80 27 1 0.555556 10 8
1231219 81 17 -1 0.777778 1 9
1231219 82 32 -0.777778 0.777778 2 9
1231219 83 55 -0.555556 0.777778 3 9
1231219 84 79 -0.333333 0.777778 4 9
1231219 85 96 -0.111111 0.777778 5 9
1231219 86 96 0.111111 0.777778 6 9
1231219 87 79 0.333333 0.777778 7 9
1231219 88 55 0.555556 0.777778 8 9
1231219 89 32 0.777778 0.777778 9 9
1231219 90 17 1 0.777778 10 9
1231219 91 10 -1 1 1 10
1231219 92 17 -0.777778 1 2 10
1231219 93 27 -0.555556 1 3 10
1231219 94 38 -0.333333 1 4 10
1231219 95 46 -0.111111 1 5 10
1231219 96 46 0.111111 1 6 10
1231219 97 38 0.333333 1 7 10
1231219 98 27 0.555556 1 8 10
1231219 99 17 0.777778 1 9 10
1231219 100 10 1 1 10 10
