seed indID indSubpopIndex subpop phen_sal phen_temp sal_opt temp_opt fitness
1231208 0 0 1 -0.931603 -0.89475 -1 -1 0.993956
1231208 1 1 1 -0.849329 -1.05866 -1 -1 0.977134
1231208 2 2 1 -0.975096 -1.05032 -1 -1 0.999064
1231208 3 3 1 -0.916014 -0.959666 -1 -1 0.992769
1231208 4 4 1 -0.876767 -0.931909 -1 -1 0.984358
1231208 5 5 1 -0.779448 -0.925044 -1 -1 0.951852
1231208 6 6 1 -1.00995 -1.07824 -1 -1 0.999136
1231208 7 7 1 -0.822444 -0.879092 -1 -1 0.967197
1231208 8 8 1 -0.692987 -0.966801 -1 -1 0.909923
1231208 9 9 1 -0.765279 -1.17672 -1 -1 0.942709
1231208 10 10 1 -0.759189 -0.91486 -1 -1 0.942805
1231208 11 11 1 -0.666631 -0.914838 -1 -1 0.894007
1231208 12 12 1 -0.852418 -1.03342 -1 -1 0.978318
1231208 13 13 1 -0.941118 -1.01119 -1 -1 0.996523
1231208 14 14 1 -0.941077 -0.999338 -1 -1 0.996534
1231208 15 15 1 -0.84881 -0.975003 -1 -1 0.977325
1231208 16 16 1 -0.980082 -1.16363 -1 -1 0.996263
1231208 17 17 1 -0.778189 -0.959615 -1 -1 0.951797
1231208 18 18 1 -0.755582 -1.03342 -1 -1 0.941878
1231208 19 19 1 -0.977683 -0.897296 -1 -1 0.998185
1231208 20 20 1 -0.845769 -1.16801 -1 -1 0.973054
1231208 21 21 1 -0.930337 -0.948604 -1 -1 0.99483
1231208 22 22 1 -1.00806 -0.951129 -1 -1 0.999637
1231208 23 23 1 -0.723507 -0.922441 -1 -1 0.925704
1231208 24 24 1 -0.848984 -0.988456 -1 -1 0.977436
1231208 25 25 1 -0.843412 -0.940725 -1 -1 0.97535
1231208 26 26 1 -0.836749 -0.942271 -1 -1 0.973296
1231208 27 27 1 -0.974263 -0.949583 -1 -1 0.99902
1231208 28 28 1 -0.869312 -1.03163 -1 -1 0.982943
1231208 29 29 1 -0.844291 -1.00482 -1 -1 0.976043
1231208 30 30 1 -0.722415 -0.951297 -1 -1 0.925566
1231208 31 31 1 -0.91722 -0.994642 -1 -1 0.993167
1231208 32 32 1 -0.765462 -0.887629 -1 -1 0.944985
1231208 33 33 1 -0.814779 -0.914691 -1 -1 0.965396
1231208 34 34 1 -0.87892 -1.00433 -1 -1 0.985444
1231208 35 35 1 -0.901574 -1.04317 -1 -1 0.990129
1231208 36 36 1 -0.994726 -1.00498 -1 -1 0.999969
1231208 37 37 1 -0.945569 -1.03875 -1 -1 0.996855
1231208 38 38 1 -0.792327 -0.860985 -1 -1 0.955478
1231208 39 39 1 -0.954826 -1.04531 -1 -1 0.997705
1231208 40 40 1 -0.814953 -0.949326 -1 -1 0.966027
1231208 41 41 1 -0.927624 -1.00411 -1 -1 0.994773
1231208 42 42 1 -0.938321 -1.07608 -1 -1 0.995483
1231208 43 43 1 -0.852261 -1.07693 -1 -1 0.977686
1231208 44 44 1 -0.829851 -0.974846 -1 -1 0.971388
1231208 45 45 1 -0.909325 -1.07678 -1 -1 0.991081
1231208 46 46 1 -0.916014 -1.0503 -1 -1 0.992657
1231208 47 47 1 -1.00995 -0.913823 -1 -1 0.998973
1231208 48 48 1 -0.904351 -0.941402 -1 -1 0.990468
1231208 49 49 1 -0.948694 -1.01168 -1 -1 0.997354
1231208 50 0 2 -0.957386 -1.14463 -0.777778 -1 0.965727
1231208 51 1 2 -0.971555 -1.03262 -0.777778 -1 0.963018
1231208 52 2 2 -0.833757 -1.04387 -0.777778 -1 0.996631
1231208 53 3 2 -0.971555 -0.9943 -0.777778 -1 0.963143
