seed subpopID N opt0 opt1 x y
1231233 1 95 -1 -1 1 1
1231233 2 200 -0.777778 -1 2 1
1231233 3 10 -0.555556 -1 3 1
1231233 4 10 -0.333333 -1 4 1
1231233 5 95 -0.111111 -1 5 1
1231233 6 10 0.111111 -1 6 1
1231233 7 145 0.333333 -1 7 1
1231233 8 10 0.555556 -1 8 1
1231233 9 10 0.777778 -1 9 1
1231233 10 95 1 -1 10 1
1231233 11 95 -1 -0.777778 1 2
1231233 12 10 -0.777778 -0.777778 2 2
1231233 13 95 -0.555556 -0.777778 3 2
1231233 14 95 -0.333333 -0.777778 4 2
1231233 15 10 -0.111111 -0.777778 5 2
1231233 16 50 0.111111 -0.777778 6 2
1231233 17 200 0.333333 -0.777778 7 2
1231233 18 145 0.555556 -0.777778 8 2
1231233 19 10 0.777778 -0.777778 9 2
1231233 20 145 1 -0.777778 10 2
1231233 21 145 -1 -0.555556 1 3
1231233 22 145 -0.777778 -0.555556 2 3
1231233 23 10 -0.555556 -0.555556 3 3
1231233 24 10 -0.333333 -0.555556 4 3
1231233 25 145 -0.111111 -0.555556 5 3
1231233 26 145 0.111111 -0.555556 6 3
1231233 27 10 0.333333 -0.555556 7 3
1231233 28 50 0.555556 -0.555556 8 3
1231233 29 50 0.777778 -0.555556 9 3
1231233 30 10 1 -0.555556 10 3
1231233 31 145 -1 -0.333333 1 4
1231233 32 95 -0.777778 -0.333333 2 4
1231233 33 200 -0.555556 -0.333333 3 4
1231233 34 10 -0.333333 -0.333333 4 4
1231233 35 10 -0.111111 -0.333333 5 4
1231233 36 200 0.111111 -0.333333 6 4
1231233 37 50 0.333333 -0.333333 7 4
1231233 38 200 0.555556 -0.333333 8 4
1231233 39 145 0.777778 -0.333333 9 4
1231233 40 95 1 -0.333333 10 4
1231233 41 200 -1 -0.111111 1 5
1231233 42 200 -0.777778 -0.111111 2 5
1231233 43 145 -0.555556 -0.111111 3 5
1231233 44 95 -0.333333 -0.111111 4 5
1231233 45 145 -0.111111 -0.111111 5 5
1231233 46 95 0.111111 -0.111111 6 5
1231233 47 145 0.333333 -0.111111 7 5
1231233 48 10 0.555556 -0.111111 8 5
1231233 49 50 0.777778 -0.111111 9 5
1231233 50 95 1 -0.111111 10 5
1231233 51 50 -1 0.111111 1 6
1231233 52 10 -0.777778 0.111111 2 6
1231233 53 50 -0.555556 0.111111 3 6
1231233 54 200 -0.333333 0.111111 4 6
1231233 55 200 -0.111111 0.111111 5 6
1231233 56 95 0.111111 0.111111 6 6
1231233 57 50 0.333333 0.111111 7 6
1231233 58 50 0.555556 0.111111 8 6
1231233 59 50 0.777778 0.111111 9 6
1231233 60 50 1 0.111111 10 6
1231233 61 145 -1 0.333333 1 7
1231233 62 95 -0.777778 0.333333 2 7
1231233 63 95 -0.555556 0.333333 3 7
1231233 64 95 -0.333333 0.333333 4 7
1231233 65 95 -0.111111 0.333333 5 7
1231233 66 10 0.111111 0.333333 6 7
1231233 67 95 0.333333 0.333333 7 7
1231233 68 10 0.555556 0.333333 8 7
1231233 69 50 0.777778 0.333333 9 7
1231233 70 10 1 0.333333 10 7
1231233 71 200 -1 0.555556 1 8
1231233 72 10 -0.777778 0.555556 2 8
1231233 73 50 -0.555556 0.555556 3 8
1231233 74 200 -0.333333 0.555556 4 8
1231233 75 200 -0.111111 0.555556 5 8
1231233 76 200 0.111111 0.555556 6 8
1231233 77 10 0.333333 0.555556 7 8
1231233 78 200 0.555556 0.555556 8 8
1231233 79 50 0.777778 0.555556 9 8
1231233 80 145 1 0.555556 10 8
1231233 81 95 -1 0.777778 1 9
1231233 82 145 -0.777778 0.777778 2 9
1231233 83 145 -0.555556 0.777778 3 9
1231233 84 50 -0.333333 0.777778 4 9
1231233 85 200 -0.111111 0.777778 5 9
1231233 86 50 0.111111 0.777778 6 9
1231233 87 145 0.333333 0.777778 7 9
1231233 88 95 0.555556 0.777778 8 9
1231233 89 50 0.777778 0.777778 9 9
1231233 90 10 1 0.777778 10 9
1231233 91 50 -1 1 1 10
1231233 92 145 -0.777778 1 2 10
1231233 93 10 -0.555556 1 3 10
1231233 94 10 -0.333333 1 4 10
1231233 95 95 -0.111111 1 5 10
1231233 96 10 0.111111 1 6 10
1231233 97 95 0.333333 1 7 10
1231233 98 50 0.555556 1 8 10
1231233 99 200 0.777778 1 9 10
1231233 100 50 1 1 10 10
