to from m
1 2 0.25
1 11 0.001
2 1 0.001
2 3 0.001
2 12 0.001
3 2 0.001
3 4 0.001
3 13 0.001
4 3 0.25
4 5 0.001
4 14 0.1
5 4 0.001
5 6 0.01
5 15 0.001
6 5 0.001
6 7 0.001
6 16 0.001
7 6 0.001
7 8 0.001
7 17 0.25
8 7 0.001
8 9 0.001
8 18 0.001
9 8 0.001
9 10 0.01
9 19 0.25
10 9 0.25
10 20 0.001
11 1 0.01
11 12 0.001
11 21 0.1
12 2 0.001
12 11 0.001
12 13 0.001
12 22 0.001
13 3 0.001
13 12 0.001
13 14 0.001
13 23 0.001
14 4 0.001
14 13 0.01
14 15 0.25
14 24 0.001
15 5 0.001
15 14 0.001
15 16 0.001
15 25 0.001
16 6 0.001
16 15 0.25
16 17 0.01
16 26 0.001
17 7 0.01
17 16 0.001
17 18 0.001
17 27 0.001
18 8 0.01
18 17 0.001
18 19 0.25
18 28 0.1
19 9 0.001
19 18 0.001
19 20 0.001
19 29 0.25
20 10 0.001
20 19 0.001
20 30 0.001
21 11 0.001
21 22 0.01
21 31 0.001
22 12 0.1
22 21 0.001
22 23 0.1
22 32 0.001
23 13 0.001
23 22 0.01
23 24 0.01
23 33 0.001
24 14 0.001
24 23 0.001
24 25 0.001
24 34 0.001
25 15 0.001
25 24 0.25
25 26 0.001
25 35 0.25
26 16 0.1
26 25 0.001
26 27 0.1
26 36 0.001
27 17 0.001
27 26 0.001
27 28 0.001
27 37 0.001
28 18 0.01
28 27 0.001
28 29 0.001
28 38 0.001
29 19 0.001
29 28 0.25
29 30 0.1
29 39 0.001
30 20 0.001
30 29 0.1
30 40 0.001
31 21 0.001
31 32 0.001
31 41 0.001
32 22 0.01
32 31 0.001
32 33 0.001
32 42 0.25
33 23 0.001
33 32 0.25
33 34 0.001
33 43 0.25
34 24 0.001
34 33 0.001
34 35 0.1
34 44 0.001
35 25 0.001
35 34 0.001
35 36 0.001
35 45 0.001
36 26 0.001
36 35 0.25
36 37 0.001
36 46 0.01
37 27 0.001
37 36 0.1
37 38 0.01
37 47 0.01
38 28 0.001
38 37 0.001
38 39 0.001
38 48 0.001
39 29 0.001
39 38 0.001
39 40 0.25
39 49 0.01
40 30 0.001
40 39 0.001
40 50 0.001
41 31 0.1
41 42 0.01
41 51 0.001
42 32 0.001
42 41 0.25
42 43 0.001
42 52 0.001
43 33 0.001
43 42 0.25
43 44 0.1
43 53 0.001
44 34 0.01
44 43 0.001
44 45 0.01
44 54 0.1
45 35 0.001
45 44 0.01
45 46 0.001
45 55 0.001
46 36 0.001
46 45 0.1
46 47 0.1
46 56 0.001
47 37 0.1
47 46 0.001
47 48 0.01
47 57 0.001
48 38 0.001
48 47 0.1
48 49 0.001
48 58 0.001
49 39 0.001
49 48 0.25
49 50 0.001
49 59 0.001
50 40 0.001
50 49 0.001
50 60 0.001
51 41 0.001
51 52 0.001
51 61 0.001
52 42 0.001
52 51 0.001
52 53 0.001
52 62 0.001
53 43 0.001
53 52 0.001
53 54 0.001
53 63 0.001
54 44 0.1
54 53 0.01
54 55 0.001
54 64 0.001
55 45 0.1
55 54 0.001
55 56 0.001
55 65 0.001
56 46 0.25
56 55 0.001
56 57 0.25
56 66 0.001
57 47 0.1
57 56 0.001
57 58 0.1
57 67 0.001
58 48 0.01
58 57 0.001
58 59 0.001
58 68 0.25
59 49 0.001
59 58 0.001
59 60 0.001
