sim.generation	num_muts	num_ind	mean-phenotype1-mat	mean-phenotype2-MTWetQ	mean-phenotype3-MTDQ	mean-phenotype4-PDM	mean-phenotype5-PwarmQ	mean-phenotype6-PWM	sd-phenotype1-mat	sd-phenotype2-MTWetQ	sd-phenotype3-MTDQ	sd-phenotype4-PDM	sd-phenotype5-PwarmQ	sd-phenotype6-PWM	corr_phen_env_1mat	corr_phen_env_2MTWetQ	corr_phen_env_3MTDQ	corr_phen_env_4PDM	corr_phen_env_5PwarmQ	corr_phen_env_6PWM
5400	354	8405	-0.0186865	-0.00249963	-0.0227134	-0.00360788	0.021652	-0.00623766	0.294843	0.343666	0.294062	0.332442	0.337292	0.325518	0.914511	0.96628	0.937322	0.967184	0.974536	0.964881
5600	340	8468	-0.0152861	-0.00358117	-0.0154987	0.00259508	0.0204294	-0.004653	0.294716	0.341813	0.292785	0.33078	0.335532	0.325565	0.913649	0.964804	0.941293	0.966693	0.974676	0.963613
5800	343	8528	-0.0186544	-0.00548797	-0.0250708	-0.00420898	0.0242653	-0.00028388	0.295206	0.341453	0.291157	0.335319	0.33902	0.327185	0.916266	0.966646	0.936165	0.967953	0.974483	0.965787
6000	345	8551	-0.01311	-0.00381448	-0.0187018	-0.00319408	0.0201835	-0.00615558	0.296199	0.345644	0.292762	0.333916	0.339391	0.326443	0.915435	0.967112	0.94205	0.966248	0.975271	0.964135
6200	367	8565	-0.0108113	-0.00547503	-0.0188964	-0.00493008	0.0177531	-0.00267908	0.297004	0.34595	0.293933	0.336089	0.341858	0.32759	0.917581	0.967924	0.941518	0.968864	0.97548	0.965782
6400	344	8604	-0.0164523	-0.00407023	-0.0184153	0.000180149	0.0135426	-0.00361547	0.295215	0.345649	0.295055	0.335255	0.338946	0.325629	0.916883	0.965237	0.940396	0.967672	0.976605	0.966658
6600	345	8473	-0.0174613	0.000347965	-0.0176438	-0.00292225	0.0189746	-0.000378948	0.296809	0.344318	0.290577	0.333328	0.337437	0.32689	0.917757	0.96739	0.942251	0.968276	0.977179	0.965833
6800	340	8633	-0.0196835	-0.00330077	-0.0184342	-0.00221951	0.0151295	0.000984398	0.298832	0.344335	0.291956	0.334821	0.338571	0.325894	0.917875	0.96819	0.940853	0.967818	0.97605	0.964991
7000	356	8534	-0.0185355	-0.00619218	-0.0207378	0.00146847	0.0164318	-0.00202216	0.2984	0.345946	0.290753	0.334914	0.337947	0.320669	0.915856	0.968968	0.940618	0.967603	0.976119	0.964823
7200	341	8507	-0.019045	-0.00263118	-0.0215229	-0.00215373	0.0174705	-0.00318569	0.300273	0.34478	0.286677	0.331515	0.339565	0.324133	0.91644	0.967614	0.939361	0.967068	0.975129	0.964565
7400	374	8539	-0.0146568	-0.00315184	-0.0152595	-0.00292888	0.0201764	-0.000652738	0.299519	0.34694	0.29354	0.333174	0.341017	0.32462	0.918732	0.968641	0.94445	0.968367	0.977535	0.967218
7600	339	8597	-0.0126411	-0.00578123	-0.0141108	-0.00426396	0.0170509	-0.00183458	0.299397	0.347488	0.296614	0.333641	0.341374	0.325616	0.917796	0.969226	0.943409	0.968503	0.977889	0.966414
7800	349	8503	-0.0135919	-0.00424221	-0.0155155	-0.00283063	0.0193489	-0.000987228	0.301416	0.345017	0.294052	0.334056	0.339471	0.323175	0.918681	0.967546	0.944537	0.969176	0.976806	0.966805
8000	354	8629	-0.0153988	-0.00247618	-0.0177881	-0.00643878	0.0134525	-0.00611104	0.300917	0.344724	0.294586	0.333511	0.340697	0.327107	0.918832	0.9669	0.94266	0.967928	0.976948	0.967199
8200	332	8536	-0.0180782	-0.00213205	-0.0205504	-0.00334822	0.0192339	-0.000923795	0.300916	0.344771	0.294342	0.332584	0.339162	0.323191	0.919295	0.968379	0.94468	0.969103	0.977262	0.966937
8400	360	8567	-0.0212502	-0.0013888	-0.024189	-0.00500949	0.0168451	-0.00198838	0.302378	0.345305	0.297822	0.335416	0.339568	0.322452	0.91868	0.969434	0.94581	0.968343	0.97713	0.966326
8600	346	8505	-0.0159797	-0.0029231	-0.0205909	-0.00478273	0.0189041	-0.000751764	0.302041	0.348231	0.297436	0.335095	0.341097	0.323158	0.916654	0.971646	0.94647	0.968885	0.977893	0.967373
8800	316	8623	-0.016791	0.00268487	-0.0233478	-0.00799914	0.017072	-0.00560285	0.300958	0.348732	0.294658	0.334625	0.342635	0.322797	0.919753	0.968016	0.944219	0.969303	0.978213	0.967979
9000	361	8624	-0.0185452	-0.00178055	-0.0228846	-0.00234522	0.0214446	-0.00210478	0.300166	0.346964	0.299483	0.333457	0.333447	0.318255	0.918192	0.968499	0.941545	0.968061	0.976967	0.966933
9200	363	8635	-0.0138246	-0.00244619	-0.0219562	-0.00200202	0.0157077	-0.00350638	0.302931	0.343768	0.304138	0.330964	0.336028	0.321183	0.918878	0.969611	0.946905	0.968431	0.977606	0.967679
9400	368	8606	-0.0198771	1.30746e-07	-0.0247648	-0.00611703	0.0216801	-0.000251952	0.302298	0.347386	0.305316	0.334049	0.338383	0.321802	0.922121	0.970056	0.945248	0.968298	0.977212	0.967498
9600	368	8607	-0.0197691	-0.00629428	-0.0231567	-0.00783477	0.0147295	-0.00592477	0.299461	0.343905	0.30311	0.328418	0.337579	0.321918	0.923127	0.969937	0.949468	0.968549	0.977384	0.968107
9800	337	8492	-0.0225425	-0.000250511	-0.0284869	-0.00389418	0.0264394	0.00470777	0.29708	0.347101	0.304989	0.3342	0.340306	0.322131	0.921609	0.971164	0.947754	0.969287	0.979505	0.96765
10000	354	8596	-0.0201866	-0.00501022	-0.0245633	-0.00207077	0.0168764	-0.00205061	0.304379	0.347613	0.302564	0.330399	0.337779	0.322758	0.920422	0.969746	0.947248	0.968022	0.978508	0.966672
