"seed" "subpopID" "indID" "indSubpopIndex" "subpop" "phen_sal" "phen_temp" "sal_opt" "temp_opt" "fitness" "subset" "N" "opt0" "opt1" "x" "y" "PC1" "PC2" "PC3" "LFMM_U1_temp" "LFMM_U1_sal" "LFMM_U2_temp" "LFMM_U2_sal" "RDA1" "RDA2" "RDA1_corr" "RDA2_corr" "RDA_PC1" "RDA_PC2" "RDA_PC1_corr" "RDA_PC2_corr" "RDA_predict_tempPhen_20KSNPs" "RDA_predict_salPhen_20KSNPs" "RDA_predict_tempPhen_20KSNPs_structcorr" "RDA_predict_salPhen_20KSNPs_structcorr"
"574" "1231094" 2 12 2 2 0 -1.08492 -0.777778 -1 0.985679 TRUE 17 -0.777778 -1 2 1 78.3788 50.639 -26.7974 30.3698611551258 55.2461471939227 -10.2733628816024 32.4263408494823 -2.51205807969244 -3.70672036281041 -4.10937057559429 -3.7429837652308 -2.97888557113501 1.95453935958703 -1.06681145821019 3.79319513420033 -2534.9934437732 -61.8896560396733 -23.4798732177155 -54.685347133203
"575" "1231094" 2 13 3 2 0 -1.18909 -0.777778 -1 0.930986 TRUE 17 -0.777778 -1 2 1 77.2399 55.0802 -35.3101 32.4630851476096 54.0428776377419 -15.6584974146734 34.4534929548849 -2.46234499364065 -3.96582869302418 -5.11603278323725 -4.04325037957707 -3.17343102131959 2.62266658201744 -0.594356297701816 4.01656312306183 -2484.39695640716 -68.6174123386506 -30.1285659742949 -61.3644836079233
"576" "1231094" 2 14 4 2 0 -1.08579 -0.777778 -1 0.985387 TRUE 17 -0.777778 -1 2 1 77.6384 54.2031 -33.7964 32.0808069639532 54.5609529285392 -15.1141998084287 34.0866264226993 -2.48706431306916 -3.39173047902744 -5.33315453900726 -3.48151813898608 -3.13807591332041 2.55436916626949 -0.930980810102697 4.30888001058718 -2522.91471519612 -58.1053926760151 -31.5463590196642 -50.7918161896457
"577" "1231094" 2 15 5 2 0 -0.923679 -0.777778 -1 0.988418 TRUE 17 -0.777778 -1 2 1 81.2505 51.2749 -29.9092 29.6911245414414 57.062262473819 -11.7468384781483 31.8203222920279 -2.59285634375507 -3.15611279374104 -4.11815279442435 -3.19365802894185 -2.91595962388553 2.13663505157384 -0.254960586721092 3.79600353610265 -2623.46372470571 -55.2830669225843 -24.3816463148136 -47.9083429800203
"578" "1231094" 2 16 6 2 0 -1.11989 -0.777778 -1 0.97166 TRUE 17 -0.777778 -1 2 1 78.0688 53.6739 -32.1262 31.9560097434228 55.3167499254785 -13.795827121889 33.9978305335295 -2.51941222515445 -3.75234458808028 -4.99187496978311 -3.82461471944815 -3.1263673245436 2.39124396295886 -0.91314532628948 4.21571258604639 -2548.13015387151 -65.5831035923135 -29.3422353700449 -58.2062701482937
"579" "1231094" 2 17 7 2 0 -0.902068 -0.777778 -1 0.981001 TRUE 17 -0.777778 -1 2 1 80.4267 50.7151 -29.6155 29.3739127574666 56.119335714957 -12.142372828287 31.4612726081914 -2.55258960333331 -1.98841835592005 -4.51902831309821 -2.04855108408163 -2.88682531236719 2.18432246100306 -0.540302662494315 3.82105361820975 -2576.22008197911 -36.0887766052023 -26.2176420480647 -28.8660137062246
"583" "1231094" 2 21 11 2 0 -1.05639 -0.777778 -1 0.993661 TRUE 17 -0.777778 -1 2 1 76.1905 53.4438 -31.9182 32.2753701096251 53.6721009193051 -13.4544444489211 34.2581719855052 -2.44425945923161 -4.32379294580395 -4.73314894855779 -4.3833107719175 -3.15587910102606 2.34962059936307 -0.968343666967691 3.68347767091117 -2465.34619763527 -73.8146326787205 -27.8326546320656 -66.6302365523659
"584" "1231094" 2 22 12 2 0 -0.899052 -0.777778 -1 0.979825 TRUE 17 -0.777778 -1 2 1 80.0177 53.0134 -34.5878 30.7166222506939 56.1287797565086 -15.0200024141165 32.7974311193913 -2.55397132120629 -2.95051922332466 -4.84788850028239 -3.02018123400705 -3.01137661556826 2.54229445624535 -0.02214399054333 3.70366194997752 -2578.050104358 -50.8570553160579 -28.454504470192 -43.5428887672053
"587" "1231094" 2 25 15 2 0 -0.730705 -0.777778 -1 0.864988 TRUE 17 -0.777778 -1 2 1 76.2171 50.5 -28.244 29.0890103820212 53.3436916408385 -11.014612453277 31.0703869551635 -2.426089293561 -4.20230329756268 -4.13176519343744 -4.24648643360496 -2.8596673781736 2.04702538941176 -0.894459509157971 2.85106966833546 -2453.1973741702 -72.0983244501726 -24.0559960042383 -65.120442932557
"588" "1231094" 2 26 16 2 0 -1.01134 -0.777778 -1 0.999743 TRUE 17 -0.777778 -1 2 1 79.7262 55.1968 -31.1667 33.0432980339776 55.8958633346131 -12.6610747490134 35.1126962802759 -2.54442921150741 -4.46477375429341 -4.64760769180216 -4.51569952149027 -3.22721732163946 2.25143478633644 -0.854860668069289 4.5518429529056 -2566.74893247321 -75.0114612350259 -26.8953916042944 -67.565937385638
