to from m
1 2 0.1
2 1 0.1
2 3 0.25
3 2 0.1
3 4 0.01
4 3 0.01
4 5 0.1
5 4 0.1
5 6 0.01
6 5 0.1
6 7 0.1
7 6 0.01
7 8 0.01
8 7 0.1
8 9 0.1
9 8 0.01
9 10 0.1
10 9 0.01
10 20 0.01
11 12 0.01
12 11 0.01
12 13 0.01
13 12 0.25
13 14 0.1
14 13 0.001
14 15 0.25
15 14 0.1
15 16 0.001
16 15 0.01
16 17 0.01
17 16 0.01
17 18 0.01
18 17 0.1
18 19 0.01
19 18 0.1
19 20 0.01
20 10 0.01
20 19 0.1
20 30 0.01
21 22 0.25
22 21 0.25
22 23 0.01
23 22 0.01
23 24 0.1
24 23 0.01
24 25 0.01
25 24 0.01
25 26 0.25
26 25 0.01
26 27 0.01
27 26 0.01
27 28 0.25
28 27 0.1
28 29 0.25
29 28 0.1
29 30 0.1
30 20 0.25
30 29 0.1
30 40 0.1
31 32 0.1
32 31 0.1
32 33 0.01
33 32 0.01
33 34 0.1
34 33 0.001
34 35 0.25
35 34 0.01
35 36 0.01
36 35 0.25
36 37 0.001
37 36 0.01
37 38 0.25
38 37 0.1
38 39 0.01
39 38 0.1
39 40 0.1
40 30 0.25
40 39 0.25
40 50 0.1
41 42 0.01
42 41 0.01
42 43 0.1
43 42 0.25
43 44 0.1
44 43 0.1
44 45 0.01
45 44 0.1
45 46 0.01
46 45 0.01
46 47 0.1
47 46 0.1
47 48 0.01
48 47 0.01
48 49 0.25
49 48 0.25
49 50 0.1
50 40 0.25
50 49 0.01
50 60 0.01
51 52 0.25
52 51 0.01
52 53 0.01
53 52 0.01
53 54 0.25
54 53 0.01
54 55 0.25
55 54 0.1
55 56 0.1
56 55 0.25
56 57 0.1
57 56 0.01
57 58 0.01
58 57 0.1
58 59 0.01
59 58 0.1
59 60 0.25
60 50 0.01
60 59 0.01
60 70 0.01
61 62 0.25
62 61 0.001
62 63 0.001
63 62 0.1
63 64 0.01
64 63 0.01
64 65 0.25
65 64 0.1
65 66 0.25
66 65 0.01
66 67 0.25
67 66 0.01
67 68 0.001
68 67 0.1
68 69 0.01
69 68 0.1
69 70 0.1
70 60 0.01
70 69 0.01
70 80 0.01
71 72 0.1
72 71 0.25
72 73 0.01
73 72 0.01
73 74 0.01
74 73 0.01
74 75 0.1
75 74 0.01
75 76 0.1
76 75 0.1
76 77 0.1
77 76 0.25
77 78 0.001
78 77 0.01
78 79 0.1
79 78 0.01
79 80 0.01
80 70 0.1
80 79 0.01
80 90 0.01
81 82 0.01
82 81 0.01
82 83 0.01
83 82 0.25
83 84 0.1
84 83 0.01
84 85 0.01
85 84 0.1
85 86 0.25
86 85 0.1
86 87 0.1
87 86 0.25
87 88 0.01
88 87 0.01
88 89 0.1
89 88 0.1
89 90 0.1
90 80 0.01
90 89 0.25
90 100 0.1
91 92 0.01
92 91 0.1
92 93 0.01
93 92 0.1
93 94 0.1
94 93 0.01
94 95 0.01
95 94 0.1
95 96 0.01
96 95 0.01
96 97 0.01
97 96 0.1
97 98 0.001
98 97 0.25
98 99 0.25
99 98 0.01
99 100 0.01
100 90 0.25
100 99 0.01
