seed indID indSubpopIndex subpop phen_sal phen_temp sal_opt temp_opt fitness
1231172 0 0 1 0 -1.17895 -0.777778 -1 0.937959
1231172 1 1 1 0 -1.07358 -0.777778 -1 0.98923
1231172 2 2 1 0 -1.06224 -0.777778 -1 0.992283
1231172 3 3 1 0 -1.02328 -0.777778 -1 0.998917
1231172 4 4 1 0 -1.06974 -0.777778 -1 0.990319
1231172 5 5 1 0 -1.03372 -0.777778 -1 0.997729
1231172 6 6 1 0 -1.09912 -0.777778 -1 0.980542
1231172 7 7 1 0 -1.23292 -0.777778 -1 0.897174
1231172 8 8 1 0 -1.1099 -0.777778 -1 0.976134
1231172 9 9 1 0 -0.932574 -0.777778 -1 0.990949
1231172 10 10 1 0 -1.03925 -0.777778 -1 0.996923
1231172 11 11 1 0 -1.29853 -0.777778 -1 0.836739
1231172 12 12 1 0 -0.953084 -0.777778 -1 0.995608
1231172 13 13 1 0 -0.962745 -0.777778 -1 0.997228
1231172 14 14 1 0 -1.26791 -0.777778 -1 0.866275
1231172 15 15 1 0 -1.19444 -0.777778 -1 0.927176
1231172 16 16 1 0 -0.927325 -0.777778 -1 0.989492
1231172 17 17 1 0 -1.01149 -0.777778 -1 0.999736
1231172 18 18 1 0 -0.923054 -0.777778 -1 0.988228
1231172 19 19 1 0 -0.805554 -0.777778 -1 0.92717
1231172 20 20 1 0 -1.09194 -0.777778 -1 0.983236
1231172 21 21 1 0 -0.964514 -0.777778 -1 0.997485
1231172 22 22 1 0 -0.839436 -0.777778 -1 0.949745
1231172 23 23 1 0 -0.963019 -0.777778 -1 0.997268
1231172 24 24 1 0 -1.0865 -0.777778 -1 0.985148
1231172 25 25 1 0 -1.12108 -0.777778 -1 0.971106
1231172 26 26 1 0 -0.969303 -0.777778 -1 0.998117
1231172 27 27 1 0 -1.08939 -0.777778 -1 0.984147
1231172 28 28 1 0 -1.31549 -0.777778 -1 0.819499
1231172 29 29 1 0 -0.802034 -0.777778 -1 0.924612
1231172 30 30 1 0 -1.24046 -0.777778 -1 0.890794
1231172 31 31 1 0 -1.1323 -0.777778 -1 0.965598
1231172 32 32 1 0 -1.15312 -0.777778 -1 0.954191
1231172 33 33 1 0 -0.870662 -0.777778 -1 0.967097
1231172 34 34 1 0 -0.808338 -0.777778 -1 0.929166
1231172 35 35 1 0 -1.00063 -0.777778 -1 0.999999
1231172 36 36 1 0 -0.775619 -0.777778 -1 0.90421
1231172 37 37 1 0 -1.03925 -0.777778 -1 0.996923
1231172 38 38 1 0 -0.804667 -0.777778 -1 0.926529
1231172 39 39 1 0 -0.862284 -0.777778 -1 0.962779
1231172 40 40 1 0 -0.810328 -0.777778 -1 0.930577
1231172 41 41 1 0 -0.914706 -0.777778 -1 0.985555
1231172 42 42 1 0 -0.686643 -0.777778 -1 0.821696
1231172 43 43 1 0 -0.973038 -0.777778 -1 0.998547
1231172 44 44 1 0 -1.21216 -0.777778 -1 0.913907
1231172 45 45 1 0 -1.13463 -0.777778 -1 0.964397
1231172 46 46 1 0 -1.0999 -0.777778 -1 0.980239
1231172 47 47 1 0 -0.997903 -0.777778 -1 0.999991
1231172 48 48 1 0 -0.819206 -0.777778 -1 0.936718
1231172 49 49 1 0 -0.776735 -0.777778 -1 0.905114
1231172 50 50 1 0 -0.997969 -0.777778 -1 0.999992
1231172 51 51 1 0 -1.07966 -0.777778 -1 0.987388
1231172 52 52 1 0 -1.25933 -0.777778 -1 0.874154
1231172 53 53 1 0 -1.31605 -0.777778 -1 0.818911
1231172 54 54 1 0 -1.18391 -0.777778 -1 0.934592
1231172 55 55 1 0 -0.931458 -0.777778 -1 0.990648
1231172 56 56 1 0 -0.820812 -0.777778 -1 0.937802
1231172 57 57 1 0 -1.1916 -0.777778 -1 0.929209
1231172 58 58 1 0 -1.01207 -0.777778 -1 0.999709
1231172 59 59 1 0 -0.846915 -0.777778 -1 0.954211
1231172 60 60 1 0 -0.822654 -0.777778 -1 0.939034
1231172 61 61 1 0 -1.04805 -0.777778 -1 0.995393
1231172 62 62 1 0 -1.0022 -0.777778 -1 0.99999
1231172 63 63 1 0 -0.93528 -0.777778 -1 0.991658
1231172 64 64 1 0 -1.1791 -0.777778 -1 0.937862
