seed subpopID N opt0 opt1 x y
1231118 1 50 -1 -0.777778 1 1
1231118 2 10 -0.777778 -0.777778 2 1
1231118 3 200 -0.555556 -0.777778 3 1
1231118 4 145 -0.333333 -0.777778 4 1
1231118 5 10 -0.111111 -0.777778 5 1
1231118 6 10 0.111111 -0.777778 6 1
1231118 7 10 0.333333 -0.777778 7 1
1231118 8 10 0.555556 -0.777778 8 1
1231118 9 145 0.777778 -0.777778 9 1
1231118 10 95 1 -0.777778 10 1
1231118 11 10 -1 -0.555556 1 2
1231118 12 145 -0.777778 -0.555556 2 2
1231118 13 10 -0.555556 -0.555556 3 2
1231118 14 10 -0.333333 -0.555556 4 2
1231118 15 145 -0.111111 -0.555556 5 2
1231118 16 95 0.111111 -0.555556 6 2
1231118 17 145 0.333333 -0.555556 7 2
1231118 18 10 0.555556 -0.555556 8 2
1231118 19 200 0.777778 -0.555556 9 2
1231118 20 145 1 -0.555556 10 2
1231118 21 95 -1 -0.333333 1 3
1231118 22 145 -0.777778 -0.333333 2 3
1231118 23 95 -0.555556 -0.333333 3 3
1231118 24 50 -0.333333 -0.333333 4 3
1231118 25 10 -0.111111 -0.333333 5 3
1231118 26 200 0.111111 -0.333333 6 3
1231118 27 200 0.333333 -0.333333 7 3
1231118 28 145 0.555556 -0.333333 8 3
1231118 29 10 0.777778 -0.333333 9 3
1231118 30 95 1 -0.333333 10 3
1231118 31 95 -1 -0.111111 1 4
1231118 32 10 -0.777778 -0.111111 2 4
1231118 33 10 -0.555556 -0.111111 3 4
1231118 34 95 -0.333333 -0.111111 4 4
1231118 35 200 -0.111111 -0.111111 5 4
1231118 36 200 0.111111 -0.111111 6 4
1231118 37 50 0.333333 -0.111111 7 4
1231118 38 50 0.555556 -0.111111 8 4
1231118 39 10 0.777778 -0.111111 9 4
1231118 40 145 1 -0.111111 10 4
1231118 41 10 -1 0.111111 1 5
1231118 42 10 -0.777778 0.111111 2 5
1231118 43 145 -0.555556 0.111111 3 5
1231118 44 50 -0.333333 0.111111 4 5
1231118 45 145 -0.111111 0.111111 5 5
1231118 46 200 0.111111 0.111111 6 5
1231118 47 145 0.333333 0.111111 7 5
1231118 48 145 0.555556 0.111111 8 5
1231118 49 10 0.777778 0.111111 9 5
1231118 50 10 1 0.111111 10 5
1231118 51 50 -1 0.333333 1 6
1231118 52 200 -0.777778 0.333333 2 6
1231118 53 50 -0.555556 0.333333 3 6
1231118 54 95 -0.333333 0.333333 4 6
1231118 55 200 -0.111111 0.333333 5 6
1231118 56 145 0.111111 0.333333 6 6
1231118 57 145 0.333333 0.333333 7 6
1231118 58 95 0.555556 0.333333 8 6
1231118 59 200 0.777778 0.333333 9 6
1231118 60 50 1 0.333333 10 6
1231118 61 95 -1 0.555556 1 7
1231118 62 200 -0.777778 0.555556 2 7
1231118 63 10 -0.555556 0.555556 3 7
1231118 64 200 -0.333333 0.555556 4 7
1231118 65 10 -0.111111 0.555556 5 7
1231118 66 200 0.111111 0.555556 6 7
1231118 67 145 0.333333 0.555556 7 7
1231118 68 95 0.555556 0.555556 8 7
1231118 69 10 0.777778 0.555556 9 7
1231118 70 10 1 0.555556 10 7
1231118 71 50 -1 0.777778 1 8
1231118 72 10 -0.777778 0.777778 2 8
1231118 73 200 -0.555556 0.777778 3 8
1231118 74 95 -0.333333 0.777778 4 8
1231118 75 50 -0.111111 0.777778 5 8
1231118 76 50 0.111111 0.777778 6 8
1231118 77 95 0.333333 0.777778 7 8
1231118 78 200 0.555556 0.777778 8 8
1231118 79 200 0.777778 0.777778 9 8
1231118 80 50 1 0.777778 10 8
1231118 81 95 -1 1 1 9
1231118 82 145 -0.777778 1 2 9
1231118 83 10 -0.555556 1 3 9
1231118 84 145 -0.333333 1 4 9
1231118 85 95 -0.111111 1 5 9
1231118 86 145 0.111111 1 6 9
1231118 87 200 0.333333 1 7 9
1231118 88 200 0.555556 1 8 9
1231118 89 95 0.777778 1 9 9
1231118 90 145 1 1 10 9
1231118 91 10 -1 0.777778 1 10
1231118 92 145 -0.777778 0.777778 2 10
1231118 93 95 -0.555556 0.777778 3 10
1231118 94 95 -0.333333 0.777778 4 10
1231118 95 50 -0.111111 0.777778 5 10
1231118 96 50 0.111111 0.777778 6 10
1231118 97 50 0.333333 0.777778 7 10
1231118 98 200 0.555556 0.777778 8 10
1231118 99 145 0.777778 0.777778 9 10
1231118 100 50 1 0.777778 10 10
