seed subpopID N opt0 opt1 x y
1231148 1 145 -1 -0.777778 1 1
1231148 2 200 -0.777778 -0.777778 2 1
1231148 3 50 -0.555556 -0.777778 3 1
1231148 4 50 -0.333333 -0.777778 4 1
1231148 5 50 -0.111111 -0.777778 5 1
1231148 6 10 0.111111 -0.777778 6 1
1231148 7 95 0.333333 -0.777778 7 1
1231148 8 95 0.555556 -0.777778 8 1
1231148 9 200 0.777778 -0.777778 9 1
1231148 10 145 1 -0.777778 10 1
1231148 11 50 -1 -0.555556 1 2
1231148 12 145 -0.777778 -0.555556 2 2
1231148 13 95 -0.555556 -0.555556 3 2
1231148 14 50 -0.333333 -0.555556 4 2
1231148 15 10 -0.111111 -0.555556 5 2
1231148 16 10 0.111111 -0.555556 6 2
1231148 17 10 0.333333 -0.555556 7 2
1231148 18 200 0.555556 -0.555556 8 2
1231148 19 10 0.777778 -0.555556 9 2
1231148 20 200 1 -0.555556 10 2
1231148 21 200 -1 -0.333333 1 3
1231148 22 50 -0.777778 -0.333333 2 3
1231148 23 95 -0.555556 -0.333333 3 3
1231148 24 10 -0.333333 -0.333333 4 3
1231148 25 95 -0.111111 -0.333333 5 3
1231148 26 10 0.111111 -0.333333 6 3
1231148 27 95 0.333333 -0.333333 7 3
1231148 28 200 0.555556 -0.333333 8 3
1231148 29 10 0.777778 -0.333333 9 3
1231148 30 10 1 -0.333333 10 3
1231148 31 145 -1 -0.111111 1 4
1231148 32 10 -0.777778 -0.111111 2 4
1231148 33 200 -0.555556 -0.111111 3 4
1231148 34 10 -0.333333 -0.111111 4 4
1231148 35 50 -0.111111 -0.111111 5 4
1231148 36 10 0.111111 -0.111111 6 4
1231148 37 95 0.333333 -0.111111 7 4
1231148 38 200 0.555556 -0.111111 8 4
1231148 39 10 0.777778 -0.111111 9 4
1231148 40 10 1 -0.111111 10 4
1231148 41 145 -1 0.111111 1 5
1231148 42 10 -0.777778 0.111111 2 5
1231148 43 50 -0.555556 0.111111 3 5
1231148 44 10 -0.333333 0.111111 4 5
1231148 45 10 -0.111111 0.111111 5 5
1231148 46 10 0.111111 0.111111 6 5
1231148 47 95 0.333333 0.111111 7 5
1231148 48 50 0.555556 0.111111 8 5
1231148 49 50 0.777778 0.111111 9 5
1231148 50 145 1 0.111111 10 5
1231148 51 145 -1 0.333333 1 6
1231148 52 95 -0.777778 0.333333 2 6
1231148 53 10 -0.555556 0.333333 3 6
1231148 54 95 -0.333333 0.333333 4 6
1231148 55 50 -0.111111 0.333333 5 6
1231148 56 200 0.111111 0.333333 6 6
1231148 57 200 0.333333 0.333333 7 6
1231148 58 10 0.555556 0.333333 8 6
1231148 59 50 0.777778 0.333333 9 6
1231148 60 95 1 0.333333 10 6
1231148 61 145 -1 0.555556 1 7
1231148 62 50 -0.777778 0.555556 2 7
1231148 63 145 -0.555556 0.555556 3 7
1231148 64 95 -0.333333 0.555556 4 7
1231148 65 200 -0.111111 0.555556 5 7
1231148 66 50 0.111111 0.555556 6 7
1231148 67 145 0.333333 0.555556 7 7
1231148 68 95 0.555556 0.555556 8 7
1231148 69 200 0.777778 0.555556 9 7
1231148 70 95 1 0.555556 10 7
1231148 71 200 -1 0.777778 1 8
1231148 72 50 -0.777778 0.777778 2 8
1231148 73 50 -0.555556 0.777778 3 8
1231148 74 145 -0.333333 0.777778 4 8
1231148 75 95 -0.111111 0.777778 5 8
1231148 76 145 0.111111 0.777778 6 8
1231148 77 145 0.333333 0.777778 7 8
1231148 78 200 0.555556 0.777778 8 8
1231148 79 145 0.777778 0.777778 9 8
1231148 80 10 1 0.777778 10 8
1231148 81 10 -1 1 1 9
1231148 82 145 -0.777778 1 2 9
1231148 83 200 -0.555556 1 3 9
1231148 84 95 -0.333333 1 4 9
1231148 85 200 -0.111111 1 5 9
1231148 86 200 0.111111 1 6 9
1231148 87 95 0.333333 1 7 9
1231148 88 50 0.555556 1 8 9
1231148 89 95 0.777778 1 9 9
1231148 90 95 1 1 10 9
1231148 91 200 -1 0.777778 1 10
1231148 92 10 -0.777778 0.777778 2 10
1231148 93 50 -0.555556 0.777778 3 10
1231148 94 50 -0.333333 0.777778 4 10
1231148 95 95 -0.111111 0.777778 5 10
1231148 96 95 0.111111 0.777778 6 10
1231148 97 10 0.333333 0.777778 7 10
1231148 98 200 0.555556 0.777778 8 10
1231148 99 200 0.777778 0.777778 9 10
1231148 100 10 1 0.777778 10 10
