seed subpopID N opt0 opt1 x y
1231129 1 10 -1 -0.777778 1 1
1231129 2 17 -0.777778 -0.777778 2 1
1231129 3 27 -0.555556 -0.777778 3 1
1231129 4 38 -0.333333 -0.777778 4 1
1231129 5 46 -0.111111 -0.777778 5 1
1231129 6 46 0.111111 -0.777778 6 1
1231129 7 38 0.333333 -0.777778 7 1
1231129 8 27 0.555556 -0.777778 8 1
1231129 9 17 0.777778 -0.777778 9 1
1231129 10 10 1 -0.777778 10 1
1231129 11 17 -1 -0.555556 1 2
1231129 12 32 -0.777778 -0.555556 2 2
1231129 13 55 -0.555556 -0.555556 3 2
1231129 14 79 -0.333333 -0.555556 4 2
1231129 15 96 -0.111111 -0.555556 5 2
1231129 16 96 0.111111 -0.555556 6 2
1231129 17 79 0.333333 -0.555556 7 2
1231129 18 55 0.555556 -0.555556 8 2
1231129 19 32 0.777778 -0.555556 9 2
1231129 20 17 1 -0.555556 10 2
1231129 21 27 -1 -0.333333 1 3
1231129 22 55 -0.777778 -0.333333 2 3
1231129 23 96 -0.555556 -0.333333 3 3
1231129 24 141 -0.333333 -0.333333 4 3
1231129 25 172 -0.111111 -0.333333 5 3
1231129 26 172 0.111111 -0.333333 6 3
1231129 27 141 0.333333 -0.333333 7 3
1231129 28 96 0.555556 -0.333333 8 3
1231129 29 55 0.777778 -0.333333 9 3
1231129 30 27 1 -0.333333 10 3
1231129 31 38 -1 -0.111111 1 4
1231129 32 79 -0.777778 -0.111111 2 4
1231129 33 141 -0.555556 -0.111111 3 4
1231129 34 209 -0.333333 -0.111111 4 4
1231129 35 255 -0.111111 -0.111111 5 4
1231129 36 255 0.111111 -0.111111 6 4
1231129 37 209 0.333333 -0.111111 7 4
1231129 38 141 0.555556 -0.111111 8 4
1231129 39 79 0.777778 -0.111111 9 4
1231129 40 38 1 -0.111111 10 4
1231129 41 46 -1 0.111111 1 5
1231129 42 96 -0.777778 0.111111 2 5
1231129 43 172 -0.555556 0.111111 3 5
1231129 44 255 -0.333333 0.111111 4 5
1231129 45 311 -0.111111 0.111111 5 5
1231129 46 311 0.111111 0.111111 6 5
1231129 47 255 0.333333 0.111111 7 5
1231129 48 172 0.555556 0.111111 8 5
1231129 49 96 0.777778 0.111111 9 5
1231129 50 46 1 0.111111 10 5
1231129 51 46 -1 0.333333 1 6
1231129 52 96 -0.777778 0.333333 2 6
1231129 53 172 -0.555556 0.333333 3 6
1231129 54 255 -0.333333 0.333333 4 6
1231129 55 311 -0.111111 0.333333 5 6
1231129 56 311 0.111111 0.333333 6 6
1231129 57 255 0.333333 0.333333 7 6
1231129 58 172 0.555556 0.333333 8 6
1231129 59 96 0.777778 0.333333 9 6
1231129 60 46 1 0.333333 10 6
1231129 61 38 -1 0.555556 1 7
1231129 62 79 -0.777778 0.555556 2 7
1231129 63 141 -0.555556 0.555556 3 7
1231129 64 209 -0.333333 0.555556 4 7
1231129 65 255 -0.111111 0.555556 5 7
1231129 66 255 0.111111 0.555556 6 7
1231129 67 209 0.333333 0.555556 7 7
1231129 68 141 0.555556 0.555556 8 7
1231129 69 79 0.777778 0.555556 9 7
1231129 70 38 1 0.555556 10 7
1231129 71 27 -1 0.777778 1 8
1231129 72 55 -0.777778 0.777778 2 8
1231129 73 96 -0.555556 0.777778 3 8
1231129 74 141 -0.333333 0.777778 4 8
1231129 75 172 -0.111111 0.777778 5 8
1231129 76 172 0.111111 0.777778 6 8
1231129 77 141 0.333333 0.777778 7 8
1231129 78 96 0.555556 0.777778 8 8
1231129 79 55 0.777778 0.777778 9 8
1231129 80 27 1 0.777778 10 8
1231129 81 17 -1 1 1 9
1231129 82 32 -0.777778 1 2 9
1231129 83 55 -0.555556 1 3 9
1231129 84 79 -0.333333 1 4 9
1231129 85 96 -0.111111 1 5 9
1231129 86 96 0.111111 1 6 9
1231129 87 79 0.333333 1 7 9
1231129 88 55 0.555556 1 8 9
1231129 89 32 0.777778 1 9 9
1231129 90 17 1 1 10 9
1231129 91 10 -1 0.777778 1 10
1231129 92 17 -0.777778 0.777778 2 10
1231129 93 27 -0.555556 0.777778 3 10
1231129 94 38 -0.333333 0.777778 4 10
1231129 95 46 -0.111111 0.777778 5 10
1231129 96 46 0.111111 0.777778 6 10
1231129 97 38 0.333333 0.777778 7 10
1231129 98 27 0.555556 0.777778 8 10
1231129 99 17 0.777778 0.777778 9 10
1231129 100 10 1 0.777778 10 10
